subjects,region,gradient_1,gradient_2,gradient_3,gradient_4,gradient_5,gradient_6,gradient_7,gradient_8,gradient_9,gradient_10
sub-31151_ses-baseline_fs,CG_5_1_thickness,-0.14008796281795252,-0.06492777655547975,0.03560723221822694,0.0012557554254647902,0.0829316454568696,-0.09601219898186705,-0.09380559752423322,0.12448666992244212,0.04368730978277277,0.010412024293556093
sub-31151_ses-baseline_fs,CG_5_2_thickness,-0.043639272375491193,-0.05441600324333893,0.002795783208810941,-0.03384350806992875,0.004244239989039741,0.03969213510779844,-0.1199908250609125,0.005905002243725695,0.0030470699182863483,-0.037249225244228946
sub-31151_ses-baseline_fs,CG_5_3_thickness,-0.017082379082566355,-0.018991972715501324,0.035242040608372625,0.10059454885375979,0.1534392466654195,0.1152429081968184,0.05693413614340516,-0.08151524873828277,-0.06733410204465039,0.06166859676371408
sub-31151_ses-baseline_fs,CG_5_4_thickness,0.0033748289216848273,-0.046338287844308566,0.04030079596076112,0.14769836778867043,-0.04774857312959045,-0.004651733932586498,0.04132923074683297,-0.04806378975404463,-0.015646433615406966,-0.07406732468310949
sub-31151_ses-baseline_fs,CG_5_5_thickness,-0.02956576933487033,-0.0925561072563537,-0.03864992492797252,-0.059359651588049636,-0.10115074362962898,0.049281432241877914,-0.03340566562977351,-0.045188023599960145,-0.0346271379134495,0.07257001506797131
sub-31151_ses-baseline_fs,FuG_3_1_thickness,0.06653547289788111,-0.062020192517649606,0.014216711726307419,0.09400537104057817,-0.07487789311526087,0.0452263246966842,0.0729262290210591,0.09204946192783851,0.01734816672678801,-0.08834896133129627
sub-31151_ses-baseline_fs,FuG_3_2_thickness,0.026770382891047818,0.0881603271974317,0.12075058703525211,-0.026946640999846738,-0.027988015588534938,0.025997266087506774,-0.003298772019976556,-0.022409361399506094,0.05547712203402048,0.04814990372015608
sub-31151_ses-baseline_fs,FuG_3_3_thickness,-0.04883537975645837,-0.09206821041821127,-0.041360016421857486,-0.08862111576961153,-0.0964051818783325,0.016250353649161737,0.04752433807556682,-0.05296448821614661,-0.02914083947231912,0.0736038608678059
sub-31151_ses-baseline_fs,IFG_6_1_thickness,0.03439195233009896,-0.054107152037763756,0.026537528181906876,0.11897974689853973,-0.0816137671363421,0.01341720314541982,0.056571162658399045,0.03320590363297111,0.0065509083761669555,-0.09261852028082004
sub-31151_ses-baseline_fs,IFG_6_2_thickness,0.10527123387678793,-0.05453872540451946,-0.012777983506206006,0.024851852722692257,-0.019490070951120216,0.044273370174413504,0.051900010259083834,0.09790078564178788,0.02484860718381528,-0.04329599343877746
sub-31151_ses-baseline_fs,IFG_6_3_thickness,-0.11946836204780525,-0.05887136735260744,0.03012847281187285,0.0041518521150236565,0.07483985273057442,-0.09849497816072915,-0.07925175831675711,0.10673694885448855,0.03983646578588086,0.015252703522633661
sub-31151_ses-baseline_fs,IFG_6_4_thickness,0.039661844075683156,0.13088956705706084,0.161688713919218,-0.04781054928531153,-0.055677145950579196,0.013710647282092755,-0.01251373969015495,-0.015381778603299728,0.050666149184475165,0.0534856508174148
sub-31151_ses-baseline_fs,IFG_6_5_thickness,0.03967981442540371,0.1309656890295857,0.16184278548272715,-0.04783305733113123,-0.055721048117707006,0.013755390529681846,-0.012514050536821838,-0.015421050833888705,0.050846381053268074,0.053560521826059186
