subjects,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10
sub-31151_ses-baseline_fs,0.07554544030682876,0.07379550829617705,0.07120579471261305,0.07090343695002567,0.06364019893227348,0.056274071299106374,0.053409826981799906,0.04200943244532502,0.03289435623363174,0.03218671696009276
sub-31152_ses-baseline_fs,0.10318941610952921,0.09884906101977459,0.09717795063566013,0.09558978748163163,0.09456477249896215,0.0833645241786872,0.07422337817132789,0.05299734894179154,0.04964427069845585,0.0249628598445543
