subjects,covariance,lh_SFG_L_6_1_thickness,lh_SFG_L_6_2_thickness,lh_SFG_L_6_3_thickness,lh_SFG_L_6_4_thickness,lh_SFG_L_6_5_thickness,lh_SFG_L_6_6_thickness,lh_MFG_L_7_1_thickness,lh_MFG_L_7_2_thickness,lh_MFG_L_7_3_thickness,lh_MFG_L_7_4_thickness,lh_MFG_L_7_5_thickness,lh_MFG_L_7_6_thickness,lh_MFG_L_7_7_thickness,lh_IFG_L_6_1_thickness,lh_IFG_L_6_2_thickness,lh_IFG_L_6_3_thickness,lh_IFG_L_6_4_thickness,lh_IFG_L_6_5_thickness,lh_IFG_L_6_6_thickness,lh_OrG_L_6_1_thickness,lh_OrG_L_6_2_thickness,lh_OrG_L_6_3_thickness,lh_OrG_L_6_4_thickness,lh_OrG_L_6_5_thickness,lh_OrG_L_6_6_thickness,lh_PrG_L_6_1_thickness,lh_PrG_L_6_2_thickness,lh_PrG_L_6_3_thickness,lh_PrG_L_6_4_thickness,lh_PrG_L_6_5_thickness,lh_PrG_L_6_6_thickness,lh_PCL_L_2_1_thickness,lh_PCL_L_2_2_thickness,lh_STG_L_6_1_thickness,lh_STG_L_6_2_thickness,lh_STG_L_6_3_thickness,lh_STG_L_6_4_thickness,lh_STG_L_6_5_thickness,lh_STG_L_6_6_thickness,lh_MTG_L_4_1_thickness,lh_MTG_L_4_2_thickness,lh_MTG_L_4_3_thickness,lh_MTG_L_4_4_thickness,lh_ITG_L_5_1_thickness,lh_ITG_L_5_2_thickness,lh_ITG_L_5_3_thickness,lh_ITG_L_5_4_thickness,lh_ITG_L_5_5_thickness,lh_FuG_L_3_1_thickness,lh_FuG_L_3_2_thickness,lh_FuG_L_3_3_thickness,lh_PhG_L_6_1_thickness,lh_PhG_L_6_2_thickness,lh_PhG_L_6_3_thickness,lh_PhG_L_6_4_thickness,lh_PhG_L_6_5_thickness,lh_PhG_L_6_6_thickness,lh_pSTS_L_2_1_thickness,lh_pSTS_L_2_2_thickness,lh_SPL_L_4_1_thickness,lh_SPL_L_4_2_thickness,lh_SPL_L_4_3_thickness,lh_SPL_L_4_4_thickness,lh_IPL_L_6_1_thickness,lh_IPL_L_6_2_thickness,lh_IPL_L_6_3_thickness,lh_IPL_L_6_4_thickness,lh_IPL_L_6_5_thickness,lh_IPL_L_6_6_thickness,lh_PCun_L_4_1_thickness,lh_PCun_L_4_2_thickness,lh_PCun_L_4_3_thickness,lh_PCun_L_4_4_thickness,lh_PoG_L_4_1_thickness,lh_PoG_L_4_2_thickness,lh_PoG_L_4_3_thickness,lh_PoG_L_4_4_thickness,lh_INS_L_6_1_thickness,lh_INS_L_6_2_thickness,lh_INS_L_6_3_thickness,lh_CG_L_5_1_thickness,lh_CG_L_5_2_thickness,lh_CG_L_5_3_thickness,lh_CG_L_5_4_thickness,lh_CG_L_5_5_thickness,lh_MVOcC_L_5_1_thickness,lh_MVOcC_L_5_2_thickness,lh_MVOcC_L_5_3_thickness,lh_MVOcC_L_5_4_thickness,lh_MVOcC_L_5_5_thickness,lh_LOcC_L_4_1_thickness,lh_LOcC_L_4_2_thickness,lh_LOcC_L_4_3_thickness,lh_LOcC_L_4_4_thickness,lh_MeanThickness_thickness
sub-31151_ses-baseline_fs,lh_SFG_L_6_1_thickness,1.0,0.1544711422702547,0.46161716249208085,0.35628875376869973,0.9970160640425427,0.17883055532529343,0.016720576726564365,0.5181293795108959,1.4834039019010384e-08,0.09339870656149626,0.7003759374756513,0.9849851060850049,0.21537558847194146,0.8727040117767483,0.5257984315201539,0.99925317981651,0.9280126458822486,0.44691195056038263,0.5878576001882727,0.41805823265463954,0.49907992589587363,0.6927434922334672,0.6812383984443431,0.9762952918687953,0.4952932413079511,0.17459142920636608,0.3209923872221545,0.0035006948947823324,0.01414134966897071,0.6347218845034154,0.9953415146061657,0.9970160640425427,0.8092083480430168,0.2485489224880826,0.0064483149195116996,0.9970160640425427,0.01581830771258913,0.3696040803572255,0.92093328217616,0.01611418912144329,0.3304209675507929,0.3934851947104097,0.6696741781691316,0.4579246168900526,0.8842255635809748,0.35299893027052504,0.1275569752340028,0.9551920716583119,0.9900059422592276,0.45057179397759317,0.8192963127090247,0.10871001260288993,0.5373480724326506,0.9606190732803924,0.6308217644671957,0.9303072776107428,0.14324411590101246,4.183089720517789e-05,0.009257322436386762,0.2649105340896275,0.8159536270840859,0.9325688755633158,0.24324199981158404,0.8925773626028858,0.44326343656545264,0.7117609675593424,0.4216217614892939,0.913566597362053,0.14324411590101246,0.24588624672811357,0.913566597362053,0.9789733862204,0.6696741781691317,0.5528218697386719,0.273337711624,0.08100521983949162,0.4839841591456666,0.2302978155229945,0.7989460943661537,0.9947013820909866,0.9974920667352474,0.9689280313642172,0.9964989274428286,0.999916992423919,0.7527030627076103,0.10152484768176259,0.9454299792570177,0.15065929756905821,0.16230574417518445,0.8484173763967716,0.5956680175984803,0.895304465840182,0.31171638866518403,0.6386196106472283,0.7133483073892741
sub-31151_ses-baseline_fs,lh_SFG_L_6_2_thickness,0.1544711422702547,1.0,0.7885193788677635,0.8842255635809748,0.17883055532529343,0.9970160640425427,0.6502950246820474,0.7342659321290261,0.00025122827927528507,0.9704775794258568,0.552821869738672,0.2129533601906355,0.9838614839378633,0.04916905978894483,0.009076412203629152,0.14324411590101246,0.06791101094827942,0.8023856057349249,0.012384828889421688,0.0050293152709682066,0.7527030627076102,0.02042668085045475,0.5722575607612336,0.2302978155229945,0.756351490754057,0.9979268763604099,0.913566597362053,0.3595943117873477,0.61520406697718,0.6191104064448554,0.1275569752340028,0.1326347436859075,0.43962646112564013,0.0015264023089925972,0.46161716249208085,0.17883055532529343,0.6386196106472282,0.00373509160770817,0.3117163886651842,0.6425146036571826,0.9059203703733224,0.8515395458111807,0.5839545226090208,0.7920126151188829,0.052362302465415525,0.8870375934267624,0.9953415146061657,0.2649105340896275,0.20111951523302385,0.7989460943661538,0.03735384384594097,0.00028628865925623445,0.715537556824545,0.256647283463737,0.015240845803546734,0.06893192453891375,0.99925317981651,0.03797523592119263,0.5296424447775875,0.955192071658312,0.43238794672229686,0.2966019234432368,0.9689280313642172,0.34646698985516333,0.005818188396018886,0.02233561618912194,0.8259199745162488,0.3209923872221545,0.99925317981651,0.9673408066369943,0.06204123119543676,0.10152484768176259,0.018324949924722528,0.7003759374756514,0.9494410002396817,0.9533107543865665,0.7672121390006451,0.0012962630992837379,0.45057179397759317,0.12589750716545076,0.13436070727522703,0.24324199981158415,0.1309255171441501,0.15835313850970142,0.027087690616476517,0.00025122827927528507,0.2790463268032964,0.0005416548595220508,0.9996680110349342,0.3969545768072896,0.65806039978699,0.05572590835838276,0.9209332821761601,0.61520406697718,0.5395868455168926
sub-31151_ses-baseline_fs,lh_SFG_L_6_3_thickness,0.46161716249208085,0.7885193788677635,1.0,0.9814958634283794,0.5066772742416186,0.8292002333249004,0.27051050666249704,0.9953415146061656,1.1965111658271797e-05,0.6464065225570532,0.9233253713747008,0.5644728871313157,0.8785188222528114,0.21054963442387,0.05926621169837814,0.43962646112564013,0.2649105340896275,0.9996680110349342,0.07532222075012762,0.037353843845940954,0.9979268763604099,0.11019322893288294,0.9347971714722627,0.5917622035382554,0.9983204388607467,0.8226185482731799,0.9657160986097532,0.10579003069276417,0.24588624672811357,0.9588464519533727,0.40744586267083277,0.41805823265463954,0.8389104425632683,0.014409451564626778,0.1544711422702547,0.5066772742416186,0.26213785114793065,0.029520932111548614,0.7041797945693158,0.264910534089628,0.9704775794258568,0.9925362484882712,0.9412796171485452,0.9999792474599868,0.22027558333396416,0.9802541561886393,0.734265932129027,0.6425146036571819,0.545075305195551,0.9998132426431755,0.17249895925986414,0.003655417202230431,0.9917332568700329,0.6308217644671958,0.088272621938321,0.2677014329217963,0.767212139000645,0.005135737092699855,0.19198421642285882,0.9280126458822486,0.832458967796947,0.6850804747343633,0.9084996823946978,0.7453661025307791,0.04189025776415045,0.11784504870301211,0.9974920667352474,0.715537556824545,0.767212139000645,0.9110485238446264,0.24854892248808214,0.34972496783190593,0.10152484768176259,0.9881175732178824,0.9347971714722626,0.6073895401053296,0.99925317981651,0.012623296420413058,0.8484173763967716,0.40393508022354235,0.421621761489294,0.611297002231013,0.41450761790366814,0.46903341397313275,0.1361034815065385,0.003279782422526481,0.6619365794191026,0.006189234422452308,0.8023856057349248,0.7989460943661537,0.9748982959182017,0.2302978155229945,0.9606190732803924,0.9570373784782781,0.9150128660190245
sub-31151_ses-baseline_fs,lh_SFG_L_6_4_thickness,0.35628875376869973,0.8842255635809748,0.9814958634283794,1.0,0.3969545768072896,0.9160536085942149,0.36291547464249396,0.9588464519533727,2.9473594057696244e-05,0.759986058836964,0.8389104425632683,0.4505717939775924,0.9513936536011709,0.1469171232746612,0.03674109467350373,0.3367901498545922,0.18974628842557348,0.98606908331815,0.04763435999315517,0.02233561618912185,0.9673408066369943,0.07206972671040379,0.8546377318733218,0.4764896991465336,0.9689280313642169,0.9110485238446264,0.9974920667352474,0.1564033422744966,0.33359728132961247,0.8898216328720556,0.3086587213650825,0.3178833096880326,0.7342659321290261,0.008055798518739738,0.22027558333396416,0.3969545768072896,0.35299893027052504,0.017346902891391448,0.5878576001882718,0.35628875376870034,0.9986727052934236,0.9974920667352473,0.8637849498888556,0.9826983553195634,0.1544711422702547,0.9999792474599868,0.838910442563269,0.5257984315201532,0.43238794672229686,0.9849851060850047,0.11784504870301181,0.0018776984263916105,0.9494410002396817,0.5143048817729025,0.05659417035304802,0.19198421642285882,0.8667837716733968,0.009441446675455028,0.2677014329217963,0.9814958634283794,0.7268069600128628,0.5683636908308479,0.9704775794258568,0.6308217644671957,0.02526742882159249,0.0775555975645869,0.9925362484882709,0.59957472507115,0.8667837716733968,0.9719892618381478,0.17670194725490265,0.25938342239429596,0.06590611352144907,0.9412796171485452,0.9849851060850049,0.7230609185534976,0.9734628940375306,0.006995979779807541,0.7453661025307791,0.30561836201864756,0.3209923872221545,0.49529324130795044,0.3147912803048124,0.36291547464249313,0.09080703499333316,0.0016742876851927157,0.545075305195551,0.003279782422526481,0.895304465840182,0.6889156253357249,0.9160536085942145,0.16230574417518445,0.995940721187631,0.8870375934267624,0.8278251257416752
sub-31151_ses-baseline_fs,lh_SFG_L_6_5_thickness,0.9970160640425427,0.17883055532529343,0.5066772742416186,0.3969545768072896,1.0,0.20579764649084026,0.020796673884428102,0.5644728871313165,2.3526647351521938e-08,0.11019322893288304,0.7453661025307791,0.9953415146061657,0.24588624672811357,0.8356958223055267,0.4802322753744756,0.9932986620529995,0.8980026284002947,0.4915148865495917,0.5412091292588714,0.3763534702712026,0.545075305195551,0.6464065225570532,0.7268069600128628,0.9900059422592276,0.5412091292588714,0.20111951523302385,0.35959431178734785,0.004526566080491991,0.017667709752437463,0.681238398444344,0.9849851060850049,0.9881175732178824,0.8484173763967716,0.21781632751280797,0.008218412372801,1.0,0.019703871668934985,0.3304209675507929,0.9474530291927439,0.02006243763303164,0.3696040803572255,0.43600123023135456,0.715537556824545,0.5028746884661174,0.8484173763967716,0.3934851947104097,0.14877953257534762,0.974898295918202,0.9979268763604099,0.4952932413079511,0.7779380853859484,0.09209566570354454,0.5839545226090207,0.9789733862203999,0.5839545226090207,0.900671538755167,0.16632939301888144,5.90154296257207e-05,0.011693204572813873,0.29958988682745746,0.8546377318733218,0.9570373784782781,0.27618300139168733,0.9233253713747008,0.4004379279244766,0.6658079556774164,0.4653201697515911,0.9412796171485452,0.16632939301888144,0.2790463268032964,0.8813858651227013,0.9606190732803924,0.6230156907367871,0.59957472507115,0.3086587213650825,0.09604839806824761,0.5296424447775875,0.20111951523302385,0.8389104425632683,0.9838614839378633,0.9890818330270071,0.9849851060850049,0.9871132819783243,0.9979268763604099,0.7079749255668157,0.0857946990428702,0.9673408066369943,0.1292329529318436,0.1875266640302867,0.8842255635809748,0.6425146036571827,0.8607607761055023,0.34972496783190576,0.6850804747343633,0.757879718767296
sub-31151_ses-baseline_fs,lh_SFG_L_6_6_thickness,0.17883055532529343,0.9970160640425427,0.8292002333249004,0.9160536085942149,0.20579764649084026,1.0,0.6034820064592491,0.7779380853859483,0.00018283714069834692,0.9494410002396817,0.59957472507115,0.24324199981158404,0.9947013820909866,0.05926621169837814,0.011470402970859953,0.16632939301888144,0.08100521983949166,0.842102475686435,0.015527214665192303,0.0064483149195116996,0.7954883089955138,0.025267428821592466,0.6191104064448563,0.26213785114793076,0.7989460943661537,0.999916992423919,0.9412796171485452,0.3209923872221545,0.568363690830848,0.6658079556774154,0.14877953257534762,0.1544711422702547,0.4839841591456666,0.002010420900579521,0.41805823265463965,0.20579764649084026,0.5917622035382554,0.0048224411812263605,0.34972496783190576,0.5956680175984803,0.9347971714722626,0.8870375934267624,0.6308217644671957,0.832458967796947,0.06298958828775206,0.918509266253888,0.984985106085005,0.29958988682745735,0.2302978155229945,0.8389104425632683,0.045407520578295404,0.0003900596459090516,0.759986058836964,0.29067890434422594,0.019003484223176777,0.08218203780755681,0.9932986620529995,0.03106909549868664,0.4839841591456667,0.974898295918202,0.47648969914653355,0.33359728132961247,0.9849851060850049,0.3865889929560972,0.007433802291130374,0.027560027641677615,0.8637849498888555,0.3595943117873477,0.9932986620529995,0.9838614839378633,0.07422514613984368,0.11942315750763073,0.022735467469821243,0.7453661025307791,0.9704775794258568,0.9280126458822486,0.8092083480430168,0.0017132679317483108,0.4952932413079511,0.1469171232746612,0.1564033422744966,0.27618300139168733,0.15255648051375248,0.1831422003821949,0.033241017581338954,0.0003431444176868409,0.3147912803048124,0.0007288561741590095,0.9986727052934236,0.4396264611256401,0.7041797945693158,0.06690244068112564,0.9474530291927439,0.6619365794191026,0.5862181036811762
sub-31151_ses-baseline_fs,lh_MFG_L_7_1_thickness,0.016720576726564365,0.6502950246820474,0.27051050666249704,0.36291547464249396,0.020796673884428102,0.6034820064592491,1.0,0.2302978155229945,0.007139274131143998,0.7920126151188835,0.1309255171441501,0.027087690616476517,0.5412091292588713,0.0032797824225265014,0.0003431444176868427,0.01495913755143151,0.005135737092699832,0.28192763592852277,0.0005152093702120699,0.0001598809141784668,0.2432419998115847,0.0009985622276024227,0.13963975049283558,0.03054549173331685,0.24588624672811357,0.6112970022310139,0.40043792792447647,0.8813858651227013,0.9983204388607467,0.16230574417518445,0.012623296420413113,0.01336327593138455,0.08702664749424115,3.5139016317567e-05,0.9513936536011705,0.020796673884428102,0.9998132426431755,0.00010920672454085364,0.04916905978894483,0.999916992423919,0.3900299462770848,0.3272613133020999,0.14507200603961018,0.2733377116240001,0.003577293875886051,0.36625210949772385,0.7079749255668156,0.037975235921192514,0.024829230174867354,0.2790463268032964,0.0022509286317795975,4.389528924655151e-06,0.21781632751280797,0.03613689707315813,0.0006771040080050004,0.005244193164711329,0.6735348951030745,0.264910534089628,0.9802541561886391,0.4690334139731336,0.08457667957173878,0.04540752057829555,0.4990799258958746,0.05836422237580891,0.0001928614203704498,0.0011250030789560406,0.3025953912736651,0.051548266560903354,0.6735348951030745,0.4952932413079512,0.004526566080491991,0.009076412203629152,0.0008642631504929118,0.20816440072871042,0.4579246168900526,0.8259199745162495,0.2539294673507807,2.861830608473908e-05,0.0908070349933334,0.012384828889421688,0.013618322145212159,0.033241017581338954,0.013112462014960774,0.01734690289139154,0.0014570696975798418,3.738555669601068e-06,0.04121506648369306,9.643365457323524e-06,0.6347218845034155,0.07314101469725358,0.18314220038219503,0.0038992025356902964,0.41097010103807574,0.16032058747853056,0.12520543503826437
sub-31151_ses-baseline_fs,lh_MFG_L_7_2_thickness,0.5181293795108959,0.7342659321290261,0.9953415146061656,0.9588464519533727,0.5644728871313165,0.7779380853859483,0.2302978155229945,1.0,7.517526021453509e-06,0.5878576001882718,0.955192071658312,0.6230156907367871,0.832458967796947,0.2485489224880826,0.07422514613984388,0.4952932413079512,0.3086587213650825,0.9925362484882709,0.09339870656149651,0.04763435999315513,0.9994813156794913,0.13436070727522695,0.9640541049906037,0.6502950246820474,0.99925317981651,0.770802913112906,0.9369919005748487,0.0857946990428702,0.20816440072870987,0.9814958634283794,0.4616171624920817,0.4727566673837804,0.8842255635809748,0.019003484223176877,0.12755697523400242,0.5644728871313165,0.22275335970563837,0.037975235921192514,0.759986058836964,0.22524965812151895,0.9433720930874003,0.9762952918687953,0.9689280313642172,0.9947013820909866,0.25938342239429646,0.9570373784782781,0.6773897533401442,0.7003759374756514,0.6034820064592491,0.9932986620529995,0.20579764649084037,0.005029315270968225,0.9994813156794913,0.6889156253357258,0.10871001260288993,0.3117163886651848,0.7117609675593414,0.0037350916077081866,0.16032058747853006,0.8898216328720556,0.8785188222528114,0.7416783079638966,0.8667837716733962,0.7989460943661545,0.05318698579995671,0.14324411590101285,0.98606908331815,0.7708029131129069,0.7117609675593414,0.8697569040818147,0.29067890434422605,0.4004379279244766,0.12425447079738128,0.9983204388607468,0.8980026284002947,0.5489463147366704,0.9983204388607467,0.016720576726564365,0.8925773626028864,0.4579246168900526,0.47648969914653444,0.6696741781691316,0.4690334139731336,0.525798431520154,0.16430866205747763,0.004526566080491983,0.7193043288827281,0.00838396075233725,0.7490411436772227,0.8484173763967716,0.9917332568700329,0.27051050666249704,0.9303072776107423,0.9802541561886393,0.9486103404153773
sub-31151_ses-baseline_fs,lh_MFG_L_7_3_thickness,1.4834039019010384e-08,0.00025122827927528507,1.1965111658271797e-05,2.9473594057696244e-05,2.3526647351521938e-08,0.00018283714069834692,0.007139274131143998,7.517526021453509e-06,1.0,0.0006606283127905398,1.649582082603253e-06,4.1522705009888537e-08,0.00011858266679514334,5.64074824940351e-10,8.615909807340797e-12,1.1752647785597106e-08,1.3515152846505442e-09,1.3522477473863675e-05,1.7887595075866163e-11,2.231116950378582e-12,8.786303194519725e-06,5.990303543731157e-11,1.946889019569946e-06,5.395556899935614e-08,9.063550480387669e-06,0.00019286142037044877,4.0637250272170966e-05,0.030545491733316714,0.008552488888782274,2.8855195357688005e-06,8.264820923119998e-09,9.29743397337217e-09,5.97182253829317e-07,1.6424960181352256e-13,0.018324949924722514,2.3526647351521938e-08,0.007585119760095776,1.1476886786900672e-12,1.5627141793092197e-07,0.007433802291130328,3.724753716078937e-05,2.1269671492499404e-05,2.149340624419244e-06,1.2337542790026529e-05,6.671635353537849e-10,3.035318335466512e-05,0.0003706154034286167,8.728590786102473e-08,3.4394928682688136e-08,1.3115909983014253e-05,2.743550210519651e-10,5.17571861212799e-15,6.425294736415395e-06,7.816368254765432e-08,2.937548759236062e-11,1.4082940945953834e-09,0.0002938307150559937,0.3178833096880319,0.013112462014960715,6.994012218150126e-05,5.573298081095301e-07,1.3041661944512374e-07,8.751141450687026e-05,2.317906161057134e-07,3.1013199442504327e-12,7.468096232069373e-11,1.6724626375403884e-05,1.7409697047810973e-07,0.0002938307150559937,8.510606362063257e-05,1.054892110940339e-09,4.211476509627834e-09,4.5913530986158027e-11,5.6626938744105565e-06,6.425798386119783e-05,0.000843583449289533,9.94641833219793e-06,1.160868833760057e-13,6.621610557487264e-07,7.946102785060718e-09,9.668748639142185e-09,6.497495160704835e-08,8.940008056764065e-09,1.6025925178880236e-08,1.2086429362141527e-10,3.9835850612912555e-15,1.0482917219584848e-07,1.8866609546302267e-14,0.0002261286375074877,3.9360229664215034e-07,3.9869753820475626e-06,7.885685922342653e-10,4.431888592109442e-05,2.7930771028407883e-06,1.4719355183962657e-06
sub-31151_ses-baseline_fs,lh_MFG_L_7_4_thickness,0.09339870656149626,0.9704775794258568,0.6464065225570532,0.759986058836964,0.11019322893288304,0.9494410002396817,0.7920126151188835,0.5878576001882718,0.0006606283127905398,1.0,0.41097010103807496,0.1343607072752266,0.913566597362053,0.02616390520427184,0.004157692889242428,0.08579469904287024,0.03735384384594097,0.6619365794191027,0.005818188396018886,0.0022008114136445696,0.6073895401053298,0.010013591091108342,0.42878681027991106,0.14691712327466128,0.611297002231013,0.9533107543865665,0.7989460943661537,0.4952932413079511,0.759986058836964,0.4727566673837795,0.07532222075012762,0.0786920983789239,0.31171638866518403,0.0006134150436333889,0.6073895401053298,0.11019322893288304,0.7814817465657604,0.0015987685623084994,0.20816440072870987,0.7850089669458497,0.7885193788677635,0.7193043288827274,0.43962646112564013,0.6502950246820467,0.028039437148583115,0.7636063979258736,0.989081833027007,0.17249895925986403,0.12589750716545076,0.6580603997869902,0.019350910989769265,0.0001033502105367251,0.568363690830848,0.16632939301888144,0.007285201110285721,0.037975235921192514,0.9789733862204,0.0689319245389139,0.6773897533401442,0.8607607761055023,0.30561836201864767,0.19651509732555983,0.8842255635809748,0.23542002097934953,0.002574284619658192,0.011036080362374686,0.6889156253357249,0.21537558847194146,0.9789733862204,0.8813858651227013,0.03380381147804166,0.05836422237580873,0.00889866803830306,0.552821869738672,0.8515395458111807,0.9979268763604099,0.6230156907367871,0.000515209370212067,0.3209923872221545,0.07422514613984368,0.07984193954288343,0.1564033422744962,0.0775555975645869,0.09604839806824761,0.01361832214521211,8.998101298921431e-05,0.18314220038219503,0.00020340152203429047,0.9640541049906034,0.27618300139168733,0.5104874255356787,0.03002946578565127,0.8092083480430169,0.46903341397313275,0.3989732297223179
