subjects,region,gradient_1,gradient_2,gradient_3,gradient_4,gradient_5,gradient_6,gradient_7,gradient_8,gradient_9,gradient_10
sub-31151_ses-baseline_fs,lh_SFG_L_6_1_thickness,-0.10889686966415507,-0.08486894875799769,-0.0016063417941317329,-0.0588785630919976,-0.07359451068979532,-0.05837887478886914,0.00026916293907654367,-0.003912513134853744,-0.08774282336304777,-0.051994541015813356
sub-31151_ses-baseline_fs,lh_SFG_L_6_2_thickness,0.11651911097550723,1.462324238642664e-05,-0.07545058356515907,-0.023822723172874195,0.00027178104818451656,0.05291570038112855,0.08038987053110204,0.019998163314802905,-0.003823573679607484,-0.13078752775605168
sub-31151_ses-baseline_fs,lh_SFG_L_6_3_thickness,0.06153399720091106,0.017520222135230027,0.15592826614505256,-0.01699917357190189,-0.0013134062256949712,-0.056554364888029764,-0.05914337059514481,0.005603715638467753,0.060077529408228816,-0.038552529041610356
sub-31151_ses-baseline_fs,lh_SFG_L_6_4_thickness,0.09320790837605081,-0.03559648341276571,0.003640567713803399,-0.05109585715744176,0.006777080680396998,-0.049195395445301625,-0.05011715673754792,0.0014245384607453919,0.005785067395575398,0.06127489612955987
sub-31151_ses-baseline_fs,lh_SFG_L_6_5_thickness,-0.08468718619009585,-0.06651917383709877,0.009796202039103922,-0.05091548322295071,-0.07165514765079369,0.036271390359631575,-0.03381008784546203,0.0015664062110655622,-0.07057009285709955,-0.025275304260397213
sub-31151_ses-baseline_fs,lh_SFG_L_6_6_thickness,0.11672686881287789,-7.636844720478449e-05,-0.07554567362311486,-0.023942869358792543,0.00027628115479679097,0.05291220361840478,0.08041965176683565,0.020060297946742033,-0.0038993312654112874,-0.1306521198098002
sub-31151_ses-baseline_fs,lh_MFG_L_7_1_thickness,0.011757430574418009,0.0034018671101988343,-0.05656242985392262,0.1654925406218205,-0.06061837323513861,-0.01674865648446173,-0.043557710588329974,-0.09833274569241983,0.016525019804222427,0.002588140034703762
sub-31151_ses-baseline_fs,lh_MFG_L_7_2_thickness,0.046450854330322006,0.043287184287764485,0.1721159111862313,0.0036952710668910257,-0.01414354706841226,-0.025962742683151557,0.005678011918979674,0.00034475671505035496,0.01336875118987648,-0.01097733467270558
sub-31151_ses-baseline_fs,lh_MFG_L_7_3_thickness,-0.002076468945716088,0.007481201908152161,-0.017989748624750765,0.05836477706397785,-0.027692862200758787,-0.015129457601508408,-0.014276789608267506,0.1089229802321416,0.0008099925477647056,0.011859626698465936
sub-31151_ses-baseline_fs,lh_MFG_L_7_4_thickness,0.0792340242256194,0.007245484643254231,-0.05912729978605163,0.005888009722710519,-0.0052553874897981355,0.040753397835181365,0.05730603222448411,-0.006836260208581333,0.004394818246127452,-0.11445820031333317
sub-31151_ses-baseline_fs,lh_MFG_L_7_5_thickness,0.00019883432074064655,0.09134377781138023,0.05780012915860185,0.006959936777276889,-0.012040969062496019,-0.005923872647246335,0.07630327358224984,-0.00587074951892334,-0.05312560895977557,0.04780567945298241
sub-31151_ses-baseline_fs,lh_MFG_L_7_6_thickness,-0.06388554340388726,-0.005098814044215099,0.001533462859290288,-0.05540122522976854,-0.05786735143862467,0.11239760173727605,-0.07319942968238613,0.005067546238745114,-0.029450867424378257,0.0033131003142361135
sub-31151_ses-baseline_fs,lh_MFG_L_7_7_thickness,0.12856543346986518,-0.02456183237195362,-0.07235356155824672,-0.043812931663186803,0.0013695139287557563,0.024285796123955053,0.04812542425723454,0.01717469421382079,-0.020174577085517047,-0.03721985923798414
sub-31151_ses-baseline_fs,lh_IFG_L_6_1_thickness,-0.07447223763260483,-0.059063444797753,-0.011065509093137542,-0.006812298952757343,0.04906392621508158,0.015047927590606424,0.09061183491461877,0.0065121544815770396,0.14057805940998924,0.05442961667482167
sub-31151_ses-baseline_fs,lh_IFG_L_6_2_thickness,-0.0418764191163488,-0.029375151137218558,0.0015733171820746514,0.03598716152286369,0.151027134690495,0.020722310798037116,-0.005670397826695016,0.01215984226613398,-0.018165187962756537,0.006052011498748476
sub-31151_ses-baseline_fs,lh_IFG_L_6_3_thickness,-0.10651786755563389,-0.07978646385281664,-0.004309130002559528,-0.057571989146900225,-0.06907276691702915,-0.06692530761491623,0.004147567021070685,-0.004114805053596314,-0.08204440982730964,-0.05168490158319185
sub-31151_ses-baseline_fs,lh_IFG_L_6_4_thickness,-0.07671627727714904,-0.054796139520213526,-0.014848940846828645,-0.015248386847593326,0.031204384785764306,-0.0040543722975349425,0.08889770041928477,0.004781440815642406,0.13152269309599668,0.0450831393099014
sub-31151_ses-baseline_fs,lh_IFG_L_6_5_thickness,0.06153900104710535,0.017487504557798853,0.15585091175892235,-0.017021455292595307,-0.0012980700679009651,-0.05657447925006825,-0.05918959455999359,0.005607312428788655,0.06009756123387479,-0.03854866923366731
sub-31151_ses-baseline_fs,lh_IFG_L_6_6_thickness,-0.04971767167537058,-0.03954439837774857,0.0006666812189183299,0.0300049187367055,0.13654666726960735,0.026690501838964976,0.015708656199285544,0.01154307520006356,0.01728768495045555,0.019392992596729372
sub-31151_ses-baseline_fs,lh_OrG_L_6_1_thickness,-0.03926463453833594,-0.024163793915627143,0.0019862860985776784,0.041020455718308466,0.16718718298714078,0.01692101013134175,-0.019291841847510212,0.012837622910110365,-0.041230129108779226,-0.002444546671780356
sub-31151_ses-baseline_fs,lh_OrG_L_6_2_thickness,0.05131413826719436,0.03530308392417336,0.17178262104584635,-0.002276851136667578,-0.01028283861084232,-0.03582979970149543,-0.01645897254337938,0.002321754766562595,0.03074084761494579,-0.023382048179863037
sub-31151_ses-baseline_fs,lh_OrG_L_6_3_thickness,-0.05740762686254175,-0.0491925435657314,-0.001780506269396511,0.01820274945779245,0.10462712302337704,0.029970878241496954,0.04498206307074629,0.010048232507637632,0.06684852618686142,0.03611052687026539
sub-31151_ses-baseline_fs,lh_OrG_L_6_4_thickness,0.006208162335258649,0.08800902357543826,0.08264405156904003,0.013225454913149446,-0.016823553836968402,7.885716067022587e-06,0.08717675447875675,-0.006798326638568734,-0.05985316652406016,0.051485245569678977
sub-31151_ses-baseline_fs,lh_OrG_L_6_5_thickness,-0.060150350500352806,0.030016514787147248,-0.008913755567730608,-0.06209830997383654,-0.04968366577399619,0.12324890078554734,-0.08591294057853992,0.005119601440133725,-0.012096745951957463,0.011071789585060832
sub-31151_ses-baseline_fs,lh_OrG_L_6_6_thickness,0.051317384394754494,0.03529495031185696,0.17177706418696645,-0.002282898286708613,-0.010278738953469356,-0.035839085664029366,-0.016480675814747155,0.002323517223196023,0.030757115177508818,-0.023393239612873422
