subjects,covariance,rh_SFG_R_6_1_thickness,rh_SFG_R_6_2_thickness,rh_SFG_R_6_3_thickness,rh_SFG_R_6_4_thickness,rh_SFG_R_6_5_thickness,rh_SFG_R_6_6_thickness,rh_MFG_R_7_1_thickness,rh_MFG_R_7_2_thickness,rh_MFG_R_7_3_thickness,rh_MFG_R_7_4_thickness,rh_MFG_R_7_5_thickness,rh_MFG_R_7_6_thickness,rh_MFG_R_7_7_thickness,rh_IFG_R_6_1_thickness,rh_IFG_R_6_2_thickness,rh_IFG_R_6_3_thickness,rh_IFG_R_6_4_thickness,rh_IFG_R_6_5_thickness,rh_IFG_R_6_6_thickness,rh_OrG_R_6_1_thickness,rh_OrG_R_6_2_thickness,rh_OrG_R_6_3_thickness,rh_OrG_R_6_4_thickness,rh_OrG_R_6_5_thickness,rh_OrG_R_6_6_thickness,rh_PrG_R_6_1_thickness,rh_PrG_R_6_2_thickness,rh_PrG_R_6_3_thickness,rh_PrG_R_6_4_thickness,rh_PrG_R_6_5_thickness,rh_PrG_R_6_6_thickness,rh_PCL_R_2_1_thickness,rh_PCL_R_2_2_thickness,rh_STG_R_6_1_thickness,rh_STG_R_6_2_thickness,rh_STG_R_6_3_thickness,rh_STG_R_6_4_thickness,rh_STG_R_6_5_thickness,rh_STG_R_6_6_thickness,rh_MTG_R_4_1_thickness,rh_MTG_R_4_2_thickness,rh_MTG_R_4_3_thickness,rh_MTG_R_4_4_thickness,rh_ITG_R_5_1_thickness,rh_ITG_R_5_2_thickness,rh_ITG_R_5_3_thickness,rh_ITG_R_5_4_thickness,rh_ITG_R_5_5_thickness,rh_FuG_R_3_1_thickness,rh_FuG_R_3_2_thickness,rh_FuG_R_3_3_thickness,rh_PhG_R_6_1_thickness,rh_PhG_R_6_2_thickness,rh_PhG_R_6_3_thickness,rh_PhG_R_6_4_thickness,rh_PhG_R_6_5_thickness,rh_PhG_R_6_6_thickness,rh_pSTS_R_2_1_thickness,rh_pSTS_R_2_2_thickness,rh_SPL_R_4_1_thickness,rh_SPL_R_4_2_thickness,rh_SPL_R_4_3_thickness,rh_SPL_R_4_4_thickness,rh_IPL_R_6_1_thickness,rh_IPL_R_6_2_thickness,rh_IPL_R_6_3_thickness,rh_IPL_R_6_4_thickness,rh_IPL_R_6_5_thickness,rh_IPL_R_6_6_thickness,rh_PCun_R_4_1_thickness,rh_PCun_R_4_2_thickness,rh_PCun_R_4_3_thickness,rh_PCun_R_4_4_thickness,rh_PoG_R_4_1_thickness,rh_PoG_R_4_2_thickness,rh_PoG_R_4_3_thickness,rh_PoG_R_4_4_thickness,rh_INS_R_6_1_thickness,rh_INS_R_6_2_thickness,rh_INS_R_6_3_thickness,rh_CG_R_5_1_thickness,rh_CG_R_5_2_thickness,rh_CG_R_5_3_thickness,rh_CG_R_5_4_thickness,rh_CG_R_5_5_thickness,rh_MVOcC_R_5_1_thickness,rh_MVOcC_R_5_2_thickness,rh_MVOcC_R_5_3_thickness,rh_MVOcC_R_5_4_thickness,rh_MVOcC_R_5_5_thickness,rh_LOcC_R_4_1_thickness,rh_LOcC_R_4_2_thickness,rh_LOcC_R_4_3_thickness,rh_LOcC_R_4_4_thickness,rh_MeanThickness_thickness
sub-31151_ses-baseline_fs,rh_SFG_R_6_1_thickness,1.0,0.5860967966668874,0.45018011687118453,0.9862277743473978,0.6866129799198041,0.016473819654267932,0.07435199419264603,0.3898803904722126,0.0014079717273148993,0.003824522243081066,0.7404278711860274,0.6035050430522643,0.010993564018747293,0.27197284562193774,0.13730874095453052,0.9404858855025771,0.011978813527897038,0.3626960295224553,0.8479799840116691,0.7917477717517537,0.06869382664382881,0.9496022271524606,0.0001563569629704695,0.5860967966668882,0.9991923249338184,0.0003168934851897783,0.7002424670350178,0.19070148170660947,1.6787507945411655e-06,0.9136586183632603,0.6694516232730475,0.466619024407266,0.9788559249174545,0.40226243888440855,0.00010340561481597519,0.8974572967211143,0.8071047946349552,0.9905468258088407,0.9946715436450565,0.9983523763523154,0.09361029492641701,0.9905468258088407,0.7204824619662366,0.9905468258088405,0.3141144273446412,0.0783290341172757,0.9764699455166123,0.9986652158153578,0.6348328074810211,0.6383072821765636,0.9346881618459314,0.4699316534666963,0.9972170990896958,0.28216937686695165,0.3393656453440626,0.48325961223550257,0.22447417547321954,0.058427999363044936,0.0651200378848923,0.9897467858357493,0.2620064877522221,0.9991923249338184,0.9880508823333501,0.9776783289574128,0.30865130110880484,0.39295914407964716,0.8998430873685944,0.6900294119640628,0.41798416588220044,0.5826182279230208,0.4732521916452872,0.5034652703502908,0.9913148187222659,0.020346820089914782,0.046739468079748575,0.0001805126702150719,0.3807127614773426,0.13730874095453088,0.8279587015034737,0.9346881618459311,0.9385802796459327,0.9547364762816123,0.3196320826856246,0.4765804750383468,0.9871551853439384,0.9385802796459332,0.9158760171290913,0.8451740453565184,0.37465929798104836,0.7103957957593097,0.8279587015034737,0.9991923249338184,0.7304954897383076,0.8161385633470808,0.7426343747656475
sub-31151_ses-baseline_fs,rh_SFG_R_6_2_thickness,0.5860967966668874,1.0,0.9739612899019187,0.6866129799198041,0.9862277743473978,0.1867431653264238,0.4600181395947311,0.944215287675086,0.034942660286860786,0.07053965075119535,0.9671594602919182,0.9995878393434778,0.14370231316858692,0.8451740453565184,0.6313564230097193,0.7917477717517544,0.15200170582912828,0.9265855048287376,0.2745004830545666,0.9404858855025775,0.44042174770490194,0.3991502854425419,0.006942803237580168,0.11799874571780786,0.6104713201778174,0.011775717848306062,0.9822028545266251,0.7338155910950144,0.00020328524845712,0.3451219204328479,0.9905468258088405,0.9800026185948704,0.7103957957593097,0.058427999363044936,0.005079135094285379,0.32520375652472233,0.9306894005951077,0.5034652703502914,0.5238933801110165,0.5514066763348683,0.520474934404642,0.5034652703502914,0.9752308923010841,0.6694516232730475,0.8876844185918001,0.4732521916452879,0.4567302019584563,0.6174365525158407,0.9967732116622625,0.996296663764204,0.3746592979810489,0.9811182981106086,0.5410576298665295,0.03194040668343067,0.9091499584677343,0.9852687402799901,0.022035459279891177,0.40226243888440855,0.4275413893305068,0.6728936140889044,0.833767812577632,0.6104713201778174,0.4933321993300831,0.46001813959473026,0.03707488888296474,0.9460387296189509,0.3280096824839506,0.9852687402799901,0.9596136131831376,0.9999835103112336,0.9822028545266254,0.9905468258088405,0.5068555703877617,0.21351648679983,0.35385238392918156,0.007734933983956606,0.9385802796459327,0.010257947269491675,0.25711023075574485,0.8010058076258413,0.7948480462087278,0.4085193103749957,0.8926163563942993,0.9832561818636097,0.6831909313390496,0.3807127614773433,0.8279587015034737,0.27197284562193774,0.934688161845931,0.9788559249174545,0.25711023075574485,0.6104713201778174,0.18871505722521245,0.24749253789260522,0.9661911043196064
sub-31151_ses-baseline_fs,rh_SFG_R_6_3_thickness,0.45018011687118453,0.9739612899019187,1.0,0.5479532555767676,0.9244946126300725,0.2770424747084141,0.59653956041728,0.9940648562427751,0.06169960919714132,0.11660414606159479,0.8876844185917996,0.9671594602919182,0.220046956233051,0.9404858855025775,0.7664664262840152,0.6591004957124329,0.23122537501318854,0.9871551853439386,0.18478578354159783,0.8451740453565184,0.5756659467151289,0.28475421107531207,0.013951053148836016,0.07147754349139616,0.4732521916452872,0.02274427362094953,0.9158760171290913,0.8562843607931373,0.0005105057852510201,0.24043283765533455,0.9346881618459311,0.9995878393434778,0.5721926716233927,0.032915685784966155,0.010437619445160909,0.22447417547321905,0.8308718809296036,0.374659297981049,0.3929591440796479,0.4179841658822011,0.6591004957124336,0.374659297981049,0.9022054654651688,0.5307452614030247,0.9671594602919186,0.6104713201778181,0.3336613599014823,0.4799163378167803,0.953053413750382,0.9513419427741895,0.26447638777327065,0.9994065424755949,0.40851931037499584,0.0170239327698575,0.9788559249174548,0.9983523763523153,0.011378672460296547,0.5341783082982243,0.5617869009869402,0.5341783082982237,0.9327020181739875,0.4732521916452872,0.3656686379290027,0.3365069645375198,0.020022968493331444,0.9946715436450564,0.22670986085082065,0.9223780184416857,0.9983523763523153,0.9752308923010841,0.9991923249338184,0.9957875024349173,0.3776801294248236,0.31137601735996623,0.47991633781678106,0.01542024437100416,0.9920506890541537,0.004985122708480513,0.17148826029817307,0.6694516232730475,0.6625548153579751,0.29259375119164766,0.9699704363754993,0.9989452079024135,0.544503505516165,0.2694595961857854,0.7002424670350178,0.18284288820917005,0.9905468258088405,0.9091499584677337,0.17148826029817307,0.4732521916452872,0.12082622824914989,0.16420466260765865,0.8860121838561723
sub-31151_ses-baseline_fs,rh_SFG_R_6_4_thickness,0.9862277743473978,0.6866129799198041,0.5479532555767676,1.0,0.7823644869552171,0.02618411679406542,0.1071936761451248,0.4832596122355033,0.002539016598500397,0.006574770855794801,0.8308718809296043,0.7036338878287541,0.017879314192999013,0.3509295355107088,0.18871505722521245,0.9832561818636097,0.019388728681490698,0.453450809660783,0.7600225514259085,0.8749683363960832,0.09960621438291527,0.8876844185918001,0.00030966666468962674,0.4866101286422384,0.9920506890541537,0.0006098592786832648,0.7948480462087285,0.2546839226166996,3.908048054007876e-06,0.8395069275655296,0.7664664262840151,0.5652529346227602,0.9991923249338185,0.31686647007810564,0.0002081529312662219,0.8191182033187132,0.8876844185918,0.9547364762816123,0.9642294222384246,0.9752308923010843,0.13265499699940841,0.9547364762816123,0.8131429445590628,0.9995878393434778,0.3991502854425419,0.11249620216053954,0.9286504988410612,0.993425775507761,0.7338155910950144,0.7371264717359505,0.8670830696657822,0.5687215959561991,0.9713309342245217,0.2135164867998301,0.4275413893305067,0.5826182279230208,0.16600424605306496,0.0856986741430437,0.09478613689479269,0.9997361976064063,0.3393656453440626,0.9920506890541537,0.9496022271524602,0.9306894005951077,0.23579971891725013,0.48661012864223835,0.8220816092464243,0.7855057322221068,0.513653991431181,0.6831909313390504,0.5721926716233935,0.6035050430522643,0.956390969089639,0.03194040668343067,0.06961176876300791,0.0003554616395315732,0.4732521916452872,0.09717270108284445,0.7371264717359499,0.9800026185948704,0.9822028545266254,0.8950483127512526,0.4053854879285778,0.5756659467151283,0.9999835103112336,0.8723607482261814,0.9685799001599226,0.7567835196698145,0.46661902440726594,0.8040627770367333,0.7371264717359499,0.9920506890541537,0.6313564230097193,0.7238286654248502,0.8328140773676067
sub-31151_ses-baseline_fs,rh_SFG_R_6_5_thickness,0.6866129799198041,0.9862277743473978,0.9244946126300725,0.7823644869552171,1.0,0.13574410680373333,0.36865345117651555,0.88011983675214,0.022387430496941745,0.04740779599876712,0.9957875024349173,0.9905468258088405,0.10208720250204802,0.7567835196698144,0.5307452614030246,0.8749683363960837,0.1085007707763114,0.8562843607931373,0.35385238392918156,0.98325618186361,0.35092953551070866,0.493332199330084,0.004050209775792826,0.16420466260765906,0.7103957957593104,0.007069536756954642,0.9997361976064063,0.634832807481021,0.00010089092211498703,0.4339624034650143,0.9995878393434778,0.9346881618459311,0.8040627770367333,0.0856986741430437,0.002915219396018297,0.41166378200690873,0.9776783289574128,0.6035050430522649,0.6243988800966244,0.6521812619015809,0.42434560552762274,0.6035050430522649,0.9983523763523153,0.7664664262840152,0.8071047946349552,0.3807127614773433,0.5548635624254311,0.7171280767226171,0.996296663764204,0.9967732116622625,0.4666190244072667,0.9366476440940736,0.6417796068467728,0.0487684324221643,0.833767812577632,0.9442152876750856,0.03442620779434462,0.31686647007810553,0.3393656453440626,0.7696707466770758,0.7437195287394005,0.7103957957593104,0.5930576859704842,0.558323706848619,0.05606922814395518,0.8826632836466023,0.41481877659172206,0.9999835103112336,0.9022054654651688,0.9852687402799901,0.9385802796459327,0.954736476281612,0.6069881967649925,0.1571474755965005,0.2745004830545666,0.004538281730050343,0.8723607482261808,0.01674689366795461,0.3336613599014823,0.8826632836466028,0.8775547770254365,0.5034652703502915,0.8131429445590621,0.9404858855025771,0.7792101050596454,0.4732521916452879,0.9045442135225787,0.3509295355107088,0.8670830696657816,0.9991923249338185,0.3336613599014823,0.7103957957593104,0.2522721911740031,0.3224112003942285,0.9954281436449095
sub-31151_ses-baseline_fs,rh_SFG_R_6_6_thickness,0.016473819654267932,0.1867431653264238,0.2770424747084141,0.02618411679406542,0.13574410680373333,1.0,0.8423496106096982,0.3280096824839513,0.7502725743796568,0.8950483127512521,0.11249620216053954,0.1771008667447633,0.9905468258088405,0.45673020195845704,0.6831909313390511,0.042278612555822555,0.994064856242775,0.35385238392918156,0.0026944380816476053,0.09244599063838266,0.8590138578021258,0.0062243997918498125,0.4179841658821997,0.0004992092157441303,0.01847026879689728,0.5170617415304721,0.1296190853424101,0.5791412047958484,0.07242551781323762,0.004453398967528228,0.14370231316858692,0.2644763877732712,0.029161461997341674,0.00013858980812126546,0.36566863792900206,0.0038984468967234714,0.08679517299260905,0.010993564018747333,0.012185010132509175,0.013951053148836115,0.7886335805090195,0.010993564018747333,0.12082622824915017,0.024221449313937427,0.4053854879285786,0.8308718809296043,0.008607216794189194,0.01907823894008551,0.16064791473262774,0.15889067580797842,0.005370881385339979,0.262006487752223,0.013263908060092977,4.870267056503518e-05,0.3776801294248243,0.2522721911740037,2.6102281787920155e-05,0.890161650258623,0.8697322472753783,0.024603468269068167,0.46993165346669774,0.01847026879689728,0.010437619445160945,0.008760864571040031,6.280325873898079e-05,0.32520375652472355,0.003973669396564737,0.1341928759640357,0.3032431843469141,0.1887150572252129,0.2595510936623212,0.2381089358183262,0.011184645265021997,0.9972170990896959,0.9265855048287376,0.4371873552157443,0.3365069645375211,7.4893286945425345e-06,0.0023445606002686255,0.044144493458667285,0.0428930557190975,0.006574770855794831,0.3991502854425426,0.2571102307557459,0.025780955814477185,0.005573711404246773,0.05016150237725704,0.002641688718483735,0.3422373240509144,0.12516403015212965,0.0023445606002686255,0.01847026879689728,0.0012419659789802001,0.0021638553168117107,0.11159418951483586
sub-31151_ses-baseline_fs,rh_MFG_R_7_1_thickness,0.07435199419264603,0.4600181395947311,0.59653956041728,0.1071936761451248,0.36865345117651555,0.8423496106096982,1.0,0.6625548153579759,0.4053854879285779,0.5721926716233927,0.3224112003942285,0.44366543665291525,0.7696707466770757,0.801005807625842,0.959613613183138,0.1554182744261862,0.7855057322221068,0.6934399736228308,0.017023932769857558,0.27959878506814667,0.9994065424755949,0.033916269904139096,0.16241923108523726,0.0041280883221664275,0.08142260512015623,0.2222532072160141,0.35678780945738664,0.8998430873685944,0.015939380111139344,0.025780955814477185,0.38375708806308345,0.5791412047958476,0.11660414606159479,0.0013789516394091211,0.13419287596403492,0.023106042583071907,0.2669607667928802,0.053789713783740985,0.058427999363045095,0.0651200378848925,0.9946715436450564,0.053789713783740985,0.3393656453440626,0.10084074145859266,0.7502725743796574,0.9997361976064063,0.044144493458667305,0.08353879259127085,0.41481877659172206,0.41166378200690873,0.03006378343125132,0.5756659467151292,0.06254058731834576,0.0005581227622191095,0.7204824619662366,0.5617869009869402,0.0003242782662633218,0.9946715436450564,0.9983523763523153,0.10208720250204802,0.8131429445590628,0.08142260512015623,0.05158755955914377,0.044781622960137185,0.000695904749604683,0.6591004957124338,0.02347279168197064,0.36566863792900356,0.6313564230097201,0.46331446643923674,0.5721926716233935,0.5410576298665302,0.05454086285425736,0.8775547770254359,0.9811182981106086,0.17334479864265484,0.6728936140889051,0.0001086138509311285,0.015166301531901733,0.16064791473262735,0.157147475596501,0.03546569079216386,0.7437195287394014,0.5687215959562,0.10589883534838615,0.03098993630771134,0.1771008667447633,0.01674689366795461,0.6797635193641034,0.3480193523036979,0.015166301531901733,0.08142260512015623,0.008916961037502273,0.014186987222786749,0.3205477017694402
sub-31151_ses-baseline_fs,rh_MFG_R_7_2_thickness,0.3898803904722126,0.944215287675086,0.9940648562427751,0.4832596122355033,0.88011983675214,0.3280096824839513,0.6625548153579759,1.0,0.07934955610112832,0.14533470898033785,0.8366462449885812,0.9346881618459311,0.2644763877732712,0.9713309342245217,0.8250285265841634,0.5930576859704842,0.27704247470841353,0.9986652158153578,0.15031425441353133,0.7886335805090195,0.6417796068467727,0.23810893581832568,0.019078238940085358,0.055300677555415394,0.41166378200690873,0.030523850682967448,0.8697322472753778,0.9045442135225782,0.0007761090102895942,0.19879291220766684,0.8926163563942994,0.9905468258088405,0.5068555703877617,0.024603468269068077,0.014426435523379617,0.18478578354159783,0.7728629740106873,0.31963208268562515,0.3365069645375205,0.35973572201177295,0.7238286654248509,0.31963208268562515,0.8535353869368245,0.4666190244072661,0.9889147774344988,0.6763309964007813,0.28216937686695165,0.4179841658822011,0.9158760171290917,0.9136586183632599,0.2200469562330505,0.9897467858357495,0.3509295355107088,0.0123943473223197,0.9952457779164138,0.9862277743473981,0.00816063830684895,0.6000220882969161,0.6278783678889913,0.46993165346669713,0.9657092542467055,0.41166378200690873,0.31137601735996623,0.28475421107531207,0.014669441436949919,0.9999835103112336,0.18674316532642338,0.8775547770254365,0.9986652158153578,0.9460387296189509,0.9889147774344988,0.9800026185948704,0.3224112003942285,0.3656686379290027,0.5445035055161658,0.021008243298053828,0.9998516025894794,0.0034736830488911745,0.1388868291124573,0.6035050430522643,0.5965395604172792,0.24512465175003734,0.9905468258088405,0.9880508823333501,0.4799163378167803,0.22447417547321954,0.6348328074810219,0.14864063409269934,0.9995878393434778,0.8617236355596004,0.1388868291124573,0.41166378200690873,0.09597358342516057,0.1326549969994081,0.8347196421137681
sub-31151_ses-baseline_fs,rh_MFG_R_7_3_thickness,0.0014079717273148993,0.034942660286860786,0.06169960919714132,0.002539016598500397,0.022387430496941745,0.7502725743796568,0.4053854879285779,0.07934955610112832,1.0,0.959613613183138,0.017304984129157805,0.03242491424267941,0.8250285265841634,0.13265499699940841,0.2644763877732712,0.0047124654751722365,0.8101316028275951,0.08902163056065496,0.0001490067086204754,0.013263908060092977,0.42434560552762296,0.00041689086517593426,0.8535353869368238,1.9488149276517803e-05,0.0016274482342667198,0.926585504828737,0.021008243298053866,0.19674815711221771,0.30865130110880484,0.00027579433505006104,0.024221449313937427,0.057632818538630615,0.0029152193960183073,4.258289560800276e-06,0.8040627770367326,0.00023418065646285474,0.012185010132509121,0.0008463758315063735,0.0009629292058001359,0.0011415644052921565,0.3509295355107088,0.0008463758315063735,0.019078238940085444,0.0022981302319047465,0.10982018192308152,0.3929591440796479,0.0006234746552743157,0.0016957174589678993,0.028282491217226355,0.027851613539017717,0.0003474125474100593,0.05684658498388595,0.0010712555081576667,1.2463804460310017e-06,0.09838355610404104,0.053789713783740985,6.017296914071352e-07,0.4633144664392368,0.4371873552157452,0.0023445606002686255,0.13888682911245756,0.0016274482342667198,0.0007931481978066802,0.0006373729804512296,1.6787507945411655e-06,0.0783290341172759,0.00023974068840452336,0.022035459279891256,0.07053965075119553,0.03546569079216386,0.05606922814395518,0.04946087866440548,0.0008648436047261714,0.7070184163790251,0.517061741530473,0.8697322472753776,0.08247527175385035,1.4131795147297132e-07,0.00012576643064096568,0.00498512270848053,0.004801810992601972,0.0004461463880191283,0.1071936761451248,0.055300677555415546,0.00248906366430966,0.00036368522412969265,0.0058909512900733,0.0001454549934888845,0.0846132369974541,0.020022968493331517,0.00012576643064096568,0.0016274482342667198,5.821082418629637e-05,0.00011406936168956756,0.01711623384075803
sub-31151_ses-baseline_fs,rh_MFG_R_7_4_thickness,0.003824522243081066,0.07053965075119535,0.11660414606159479,0.006574770855794801,0.04740779599876712,0.8950483127512521,0.5721926716233927,0.14533470898033785,0.959613613183138,1.0,0.037624871373139024,0.06599893007856945,0.9460387296189505,0.22670986085082065,0.4053854879285779,0.011575683801141101,0.9366476440940738,0.160647914732627,0.0004773132360240419,0.029609673957848467,0.5930576859704836,0.0012419659789801947,0.69684441037047,7.122947978390619e-05,0.004369959706533335,0.7948480462087283,0.04478162296013709,0.31686647007810564,0.19070148170661033,0.000846375831506369,0.05087037285711641,0.10982018192308123,0.007462310544119005,1.704167521481369e-05,0.6383072821765636,0.0007270126023520159,0.027426395661847982,0.002391850142803382,0.002694438081647593,0.003152427559846353,0.5102518722640013,0.002391850142803382,0.041071942027202046,0.006000265081718533,0.19270246003076075,0.5583237068486183,0.0018030822261104467,0.004538281730050343,0.05842799936304496,0.057632818538630406,0.0010487258474121942,0.1085007707763114,0.0029729403593939507,5.3457146005330005e-06,0.17521565729471403,0.10334566230289158,2.6849984488620674e-06,0.6348328074810212,0.6069881967649917,0.006111405768852048,0.23579971891725013,0.004369959706533335,0.0022525450552468166,0.0018402390129502106,7.082391551691744e-06,0.14370231316858656,0.0007430474090052121,0.046739468079748575,0.13113041774902523,0.07147754349139616,0.10719367614512451,0.09597358342516057,0.0024400130383724107,0.8617236355596004,0.6900294119640628,0.7171280767226168,0.15031425441353133,6.802719351161551e-07,0.0004075448403701309,0.012185010132509078,0.011775717848306042,0.0013225626984717995,0.18871505722521245,0.10589883534838615,0.006456055130217149,0.0010942330830807125,0.014186987222786749,0.0004667049800009513,0.15370303168351093,0.04289305571909737,0.0004075448403701309,0.004369959706533335,0.00019852484964256783,0.00037208678939055026,0.037255624371973835
