,lambda
gradient_1,0.08321232478130809
gradient_2,0.07344525903037268
gradient_3,0.06652013038335101
gradient_4,0.06338549737911957
gradient_5,0.057738733967804615
gradient_6,0.046058166773020985
gradient_7,0.03895123081734222
gradient_8,0.03655067382241831
gradient_9,0.03533270974781273
gradient_10,0.025340627638565205
