subjects,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10
sub-31151_ses-baseline_fs,0.07950868254334713,0.07586257130581872,0.07468820477035981,0.06937703804264718,0.06789085453172494,0.05748180372735468,0.05676857279436553,0.053346802531426485,0.03980277373373618,0.031723738725106414
sub-31152_ses-baseline_fs,0.10310079077906088,0.09915987443714372,0.09742742586430354,0.0959765540564236,0.09468603341428349,0.08350085466694808,0.07425710286695698,0.053399516485796675,0.04964310613828548,0.025197449089156037
