subjects,region,gradient_1,gradient_2,gradient_3,gradient_4,gradient_5,gradient_6,gradient_7,gradient_8,gradient_9,gradient_10
sub-31151_ses-baseline_fs,rh_SFG_R_6_1_thickness,-0.05210015117262639,0.05540315829628256,-0.053947413105998085,-0.04973723349784767,-0.05352317126720669,-0.0992440319671926,-0.009999626553333247,0.006439586164651056,0.05718969126625111,0.007827096398699692
sub-31151_ses-baseline_fs,rh_SFG_R_6_2_thickness,0.11893680001431359,0.00375373127055289,0.01611794659995016,-0.02636674160032483,-0.00941187342478535,-0.026507112301141875,-0.040344731603750794,-0.022702636613512822,-0.04712004805060901,-0.09201653815753934
sub-31151_ses-baseline_fs,rh_SFG_R_6_3_thickness,-0.020934555157901207,-0.07472979364919449,0.16150562201412927,-0.08543580010597719,-0.012491878855128055,0.017480582284889946,-0.1355452255965167,-0.04195354802007474,-0.0038590020899174414,0.013315570376133196
sub-31151_ses-baseline_fs,rh_SFG_R_6_4_thickness,-0.073533146056807,0.19291418026468501,0.0038754312136266116,-0.03889897348248669,-0.010633251470857655,-0.030882275255078813,-0.007937438878794334,-0.0001495629650912769,0.03644417209580536,-0.016083253543827523
sub-31151_ses-baseline_fs,rh_SFG_R_6_5_thickness,0.19400589836712206,0.031574234967444215,-0.025466312239865865,-0.022377754127474985,-0.0066021783971631455,0.01663549920937317,-0.0017065471006943314,-0.0031093425446552534,-0.0030667452921869513,0.013403376812484304
sub-31151_ses-baseline_fs,rh_SFG_R_6_6_thickness,-0.017497010942833867,-0.011958364024972665,0.011152427297720143,0.1428235914052907,-0.045551348254744765,0.002141734493881388,-0.0016474666214675185,-0.0401367055195209,-0.0035171261607230067,0.008364690124117008
sub-31151_ses-baseline_fs,rh_MFG_R_7_1_thickness,-0.020211144410269728,-0.01720645606488756,0.02020054368388504,0.1369904086397469,-0.03626976425315436,-0.010028909908636956,0.05719984635571409,-0.1507428736024746,-0.001696300829335005,0.01628447500873301
sub-31151_ses-baseline_fs,rh_MFG_R_7_2_thickness,-0.021818632801718967,-0.06404676835268489,0.14229472102592525,-0.06142333398970806,-0.010143392671446738,0.006860878539872463,0.05555219742380406,0.03807715783660549,0.005145963611318313,0.0028819325790300186
sub-31151_ses-baseline_fs,rh_MFG_R_7_3_thickness,-0.012428366370611031,-0.0062664134789824424,0.005081566024938899,0.13590300302886843,-0.05398925722956509,0.015894010175518856,-0.06118620953822229,0.11668121684745722,-0.008649240121288327,-0.008587214053977187
sub-31151_ses-baseline_fs,rh_MFG_R_7_4_thickness,-0.012992940606577425,-0.007038059272504621,0.0058448775894148885,0.13243571110693866,-0.05029331798628524,0.012795294653383806,-0.048118203195864094,0.08216406810653593,-0.007264829690357037,-0.00470096955113324
sub-31151_ses-baseline_fs,rh_MFG_R_7_5_thickness,0.1838179432019161,0.03720211876125196,-0.029581263555055977,-0.02264110301321745,-0.0032976435943421452,0.05367881813498423,0.005642379417255669,0.0058133126197323585,0.028715695670698566,0.10262176219739114
sub-31151_ses-baseline_fs,rh_MFG_R_7_6_thickness,0.1751098937444917,0.023211323627169763,-0.014330102756119033,-0.02035591986946738,-0.009387466630026419,-0.022447260405569585,-0.012705730160736763,-0.013594810904041904,-0.04356552446342262,-0.08457781306217987
sub-31151_ses-baseline_fs,rh_MFG_R_7_7_thickness,-0.01697820324028126,-0.011047038371442677,0.009979370199582515,0.14567934611037936,-0.048695613741593494,0.005263642353724181,-0.015028624880253022,-0.008414127050046403,-0.004244330353153291,0.005415543465836222
sub-31151_ses-baseline_fs,rh_IFG_R_6_1_thickness,-0.01311753557342261,-0.041152724955110624,0.09453931467421926,-0.02170825810763147,-0.008536005748157095,-0.006308317547438397,0.14660123577748543,0.05454682482356868,0.00023030764803454463,-0.01509272757865451
