,gradient_1,gradient_2,gradient_3,gradient_4,gradient_5,gradient_6,gradient_7,gradient_8,gradient_9,gradient_10
rh_SFG_R_6_1_thickness,-0.06510494785939133,0.18280303323058925,0.01504006237141921,-0.029450873334053905,-0.007599199316412182,0.0043690195455332054,-0.00011878383678706431,-0.00044334951022905714,-0.002132882082876451,-0.0014872606338709653
rh_SFG_R_6_2_thickness,0.04461185180738095,-0.025414658469882733,0.06126378596821637,-0.035288109608964904,-0.0034336848474599596,0.002790809843870183,-0.07414014084645319,-0.02725969285162636,0.0012779696284060454,0.004240205613962659
rh_SFG_R_6_3_thickness,-0.01777743410618254,-0.08039019563703198,0.16910942658582742,-0.07791301230783991,-0.009575143172884212,0.007412825495057369,-0.12109861998803718,-0.040983264351292,-0.0029504206065112375,-0.0024496631882568493
rh_SFG_R_6_4_thickness,-0.08247131618189094,0.23462107241350957,0.019191756035784675,-0.04019595624519044,-0.011131938218340113,0.006256512547369049,-0.0001392730277070294,-0.0007846909630983963,-0.004161658452472931,-0.004067486772248038
rh_SFG_R_6_5_thickness,0.2610100433333437,0.038154805008278815,-0.031714806292074196,-0.03108948672847244,-0.010955636874274562,0.004956469931300601,0.0051080327209780145,0.0009123558872681574,-0.004102123678605605,-0.004601190731259319
rh_SFG_R_6_6_thickness,-0.014421060020594614,-0.013663777236464348,0.009645399644139838,0.1803546462946809,-0.06478430389477965,0.01541207511930094,0.001189850534540171,-0.05806209103711975,-0.014997113605747393,-0.031938326756709046
rh_MFG_R_7_1_thickness,-0.01351059144332664,-0.013436226186000686,0.010779974993752425,0.15829513595291755,-0.05461922443833367,0.011013458113427932,0.023940288928268983,-0.09685081816649341,-0.009495652624708605,-0.012579158957938822
rh_MFG_R_7_2_thickness,-0.02235169177076034,-0.07130626975042345,0.14662969118640887,-0.05299808771388435,-0.010858247969112037,0.003511244081345755,0.06624946566576378,0.03183008082885965,-0.003931935443968541,-0.006479707638383766
rh_MFG_R_7_3_thickness,-0.011744597305177571,-0.009878395052998598,0.004406668662344568,0.14778771295488657,-0.052046279975403044,0.014687359864061549,-0.05062333353434834,0.09023290531165028,-0.004467618906489068,-0.007655375115638765
rh_MFG_R_7_4_thickness,-0.013197185117863174,-0.01203794729541741,0.007521380438168147,0.16552811093814493,-0.05917967322469682,0.014882818218539465,-0.015044794722050274,-0.012416214063837232,-0.012043954194214316,-0.02658421010199703
rh_MFG_R_7_5_thickness,0.22713228132569857,0.03379028428829096,-0.028085427932299456,-0.02557849427642356,-0.008933546667354516,0.0038308255540978864,0.005729482190443778,0.0014540395806941565,-0.0028852349183179993,-0.0030311226215092415
rh_MFG_R_7_6_thickness,0.15515195563064882,0.01595984535385104,-0.007206762609868411,-0.021407948573616328,-0.00527124487492066,0.0023117163777615895,-0.013574261295761916,-0.005546847715278656,-8.465116997246418e-05,0.0016733824644265811
rh_MFG_R_7_7_thickness,-0.014406770214068262,-0.013619107084626167,0.009520936653267078,0.18054003832989726,-0.06490930034846498,0.015535160457052808,-0.00021963835697244078,-0.054862383419390065,-0.01503188282951576,-0.03228780208527971
rh_IFG_R_6_1_thickness,-0.021027604305473444,-0.058991997159645884,0.11832341936121889,-0.028174118136722517,-0.011674075096557691,0.0014019195058942867,0.13592795511805786,0.04606699557514821,-0.002531782002717657,-0.0012620208715686675
rh_IFG_R_6_2_thickness,-0.012922946892617415,-0.02053639446608367,0.030413904196238985,0.08721893961078611,-0.030570348405429354,0.0036402675254130017,0.06416321339075022,-0.07601945601344325,0.0008506133407430695,0.016382252588625627
rh_IFG_R_6_3_thickness,-0.08109379950459973,0.23066551198995752,0.018828298989984216,-0.03945514049293575,-0.010886825601863825,0.0061050949995785555,-0.00016958925132203948,-0.0007800858077871964,-0.003949780637294143,-0.0038376227779799935
rh_IFG_R_6_4_thickness,-0.014423776965783796,-0.01364648558042669,0.009554394623074657,0.18071455213815785,-0.06497115838060545,0.015528987343731931,0.00012640645773305642,-0.055752332124730124,-0.015061760424132448,-0.032312166970907975
rh_IFG_R_6_5_thickness,-0.023015159773095088,-0.0698239183304313,0.1427642975747876,-0.048072497009092316,-0.01133557667947584,0.0028842201357785983,0.09998457407409156,0.04374448840983976,-0.004054554187464187,-0.006628117150172304
rh_IFG_R_6_6_thickness,-0.05706657019557811,-0.06417118831159209,-0.12435388632307431,-0.04800956308045917,0.034146208696106926,0.16702703267055954,0.003591548011753811,-0.003145720077542258,-0.012467344358868818,0.009769836229528234
rh_OrG_R_6_1_thickness,-0.010101702359822093,-0.006913458425260495,-0.011588527539423093,0.020260011204447603,0.04158280882918497,-0.028614360938244633,0.0024095941066583615,-0.008059307681083466,0.10748739858863399,0.08024061080881938
rh_OrG_R_6_2_thickness,-0.007982559031259962,-0.006676346865295255,-0.001028421462852983,0.04648315026292731,0.019146477663122618,-0.019956145775163223,0.012922325231386431,-0.035038625680211294,0.05572520683098075,0.11098732914832812
rh_OrG_R_6_3_thickness,-0.05731262284017162,-0.06420803101262884,-0.12621227950158945,-0.05518827726683354,-0.006979919822842365,0.09616099215868282,0.0021372954579137846,-0.002278490976029556,-0.02073441033813285,0.013244576939456902
rh_OrG_R_6_4_thickness,-0.011427015803609723,-0.009583147181383833,0.0036281725529643074,0.14457447629283313,-0.050677539924044654,0.015110720718118366,-0.06892561522740834,0.145445231580476,0.0003928150592976545,0.006492188457772681
rh_OrG_R_6_5_thickness,-0.018766446097534403,-0.018166582865611222,-0.026313010004357616,0.034720425036009174,0.15843955610112484,-0.0626245578903693,-0.004201895988775948,0.002511127470447283,-0.0054343319142410185,-0.02535744432151466
rh_OrG_R_6_6_thickness,-0.061156303928916245,-0.06585324401715086,-0.13594931796684936,-0.07190596935131217,-0.09798292394348869,-0.10852129582111773,-0.00257282313583485,0.0005183773272669838,-0.005543366843990559,-0.009919140085959451
rh_PrG_R_6_1_thickness,-0.011220094085471977,-0.009380164430942889,0.0034728388402820794,0.14149600080345437,-0.049408191523498714,0.01479257061231287,-0.06973416100252464,0.14922985525451568,0.001110442626732377,0.008410162669301413
rh_PrG_R_6_2_thickness,0.26066973640255037,0.03812955304864173,-0.031679865971814616,-0.0310421959206689,-0.010937745153449701,0.0049441538178036275,0.005110440374510754,0.0009159343272415219,-0.004086861228423742,-0.004583349379266231
rh_PrG_R_6_3_thickness,-0.005773513072725943,-0.0037892522823472757,-0.006858205629780526,0.019690470529087473,0.027653077503263446,-0.02243120703547349,0.003362103167955045,-0.009605013329429264,0.09059028675328011,0.1014181769608612
rh_PrG_R_6_4_thickness,-0.009801731022827598,-0.008045376581373234,0.0027414529249624765,0.119857358305103,-0.04061985035501907,0.012088309188887607,-0.06322315128741116,0.1395272075152113,0.0029958338652802605,0.012070965957849566
rh_PrG_R_6_5_thickness,-0.05718212784804595,-0.06430255010199208,-0.12462954946453798,-0.04820088329167632,0.03382974652997503,0.1669485430867053,0.00359192761228922,-0.0031514489370710773,-0.01264154257364031,0.009916328889369873
rh_PrG_R_6_6_thickness,0.26101393669439743,0.038153342832554206,-0.031712864178245065,-0.031090977378987323,-0.01095572046143011,0.00495668004868443,0.005103419180436036,0.000910406032772177,-0.00410184891050283,-0.004599990873631457
rh_PCL_R_2_1_thickness,-0.01780216741269534,-0.08045474079003306,0.1692456678418453,-0.07798298062158024,-0.00958498195306458,0.007421410845627094,-0.12124047705935477,-0.04103464645963452,-0.002956173015534823,-0.002456628189856309
rh_PCL_R_2_2_thickness,-0.08245129666806669,0.2345667830500741,0.019186622863381856,-0.04018529791588548,-0.01112891220050787,0.0062532519666026526,-0.00013910930237279846,-0.0007843796690963938,-0.00415805674921459,-0.004063267098095622
rh_STG_R_6_1_thickness,-0.01744513945166761,-0.016681173226181997,-0.02200319192056053,0.041206563527892245,0.17648896247814225,-0.08244531256252344,-0.005185127480619958,0.0031055937595949644,-0.08701120685468094,0.019328256435600627
rh_STG_R_6_2_thickness,-0.011353746082283086,-0.009519907238986826,0.0035395823225149777,0.14354252518253885,-0.05025283106956375,0.015019066016904017,-0.0696198196333958,0.14796809241313766,0.0007463945527490789,0.007447120154403618
rh_STG_R_6_3_thickness,-0.05717089112138992,-0.06428976806878432,-0.12459953449480671,-0.048170213609613016,0.03393050017605351,0.16707947742839377,0.003594407330216436,-0.003152477972023387,-0.012612838055117974,0.009896946235781136
rh_STG_R_6_4_thickness,0.22668311354816204,0.03372782520714665,-0.028035372210941878,-0.02551235430724024,-0.008908344805771165,0.00381745182695412,0.005726951043176983,0.0014562705429181108,-0.0028705875467347638,-0.00301497643883776
rh_STG_R_6_5_thickness,-0.06424370267543471,-0.0713889667090974,-0.1441293279518894,-0.07532977310164775,-0.09348481361990217,-0.08462755521127609,-0.002094127259487345,3.3584513940321747e-06,-0.012464144532506816,-0.005140356914385379
rh_STG_R_6_6_thickness,-0.06126671644071008,-0.06599389255206548,-0.1362056380381517,-0.07205097597773195,-0.09812330839968983,-0.10852337061081817,-0.0025741569752838604,0.0005143328761297638,-0.0056387174088591025,-0.00991506373890466
rh_MTG_R_4_1_thickness,-0.06124744222749463,-0.06596631650092709,-0.13616001298330793,-0.072026992759839,-0.09811371230063101,-0.10856875681553943,-0.002574871148234842,0.0005158564261802333,-0.005611049503332668,-0.009924915896767198
rh_MTG_R_4_2_thickness,-0.013001973475176386,-0.02286037593937232,0.03669687430232815,0.06854094130685273,-0.025219332166419278,0.0024269077320015877,0.07469618745107558,-0.05661599164520015,0.0015206550762663928,0.016927229533097766
rh_MTG_R_4_3_thickness,-0.06424370267543471,-0.0713889667090974,-0.1441293279518894,-0.07532977310164775,-0.09348481361990217,-0.08462755521127609,-0.002094127259487345,3.3584513940321747e-06,-0.012464144532506816,-0.005140356914385379
rh_MTG_R_4_4_thickness,0.22723048987311256,0.0338070898818455,-0.028096796214611378,-0.02559439221378958,-0.008939500786675918,0.003833588479382135,0.005729450441813749,0.0014532305778517784,-0.002887950110450305,-0.003034404098948771
rh_ITG_R_5_1_thickness,-0.0824508179709183,0.23455846983399722,0.01918555436653646,-0.04018348960629461,-0.011127581429663202,0.006254266573031513,-0.00013920385359020285,-0.0007840894455003353,-0.004159208971220948,-0.004065474540057011
rh_ITG_R_5_2_thickness,-0.023812261723266438,-0.07002242416168343,0.1420769206321555,-0.04242551693103098,-0.012903554458096505,0.0024901644486825247,0.13756508599835113,0.05389918592841518,-0.00426471851322726,-0.005995800010837604
rh_ITG_R_5_3_thickness,-0.012319535332605689,-0.016033530929795547,0.019798704240006428,0.10781204549823838,-0.0357429506359177,0.004843128518260847,0.05268056114169892,-0.09446932922259253,-0.0007471989202138779,0.013056489644468865
rh_ITG_R_5_4_thickness,-0.06212395452866025,-0.06942145516798758,-0.13904235627520434,-0.07102682460618279,-0.07746749285446716,-0.04896578904676184,-0.0012800619239514042,-0.0004648944747582521,-0.015939913829282084,-5.511950701557389e-05
rh_ITG_R_5_5_thickness,-0.07062267441491578,0.19945470249472047,0.016347969686543323,-0.03295156422785334,-0.008775129206837607,0.0049507803128986646,-0.00011911068365480982,-0.0005395259383134289,-0.0026730421862186595,-0.0022105097484307243
rh_FuG_R_3_1_thickness,0.2609264643376013,0.038141706729880966,-0.03169820754495113,-0.031080732051222734,-0.010950734100821018,0.004953772986256853,0.005093251371937037,0.0009068320755754563,-0.004097042466800223,-0.004592205828151822
rh_FuG_R_3_2_thickness,0.26093682029776394,0.038138336179317396,-0.03169858056220873,-0.03108130039175808,-0.010950884565116384,0.004954407608220582,0.005092329789163445,0.0009063898624148727,-0.004097938920514247,-0.004592994265367032
rh_FuG_R_3_3_thickness,-0.055511130002124744,-0.06223043948560165,-0.12133332808408188,-0.04943526946077905,0.01374817751144259,0.12282143457367102,0.0026291509427806277,-0.0024899560758561133,-0.014078567910714514,0.00862379193057494
rh_PhG_R_6_1_thickness,-0.017801661626725133,-0.08045457971068722,0.16924529646263684,-0.07798376302511233,-0.009584757832265705,0.007421538449682057,-0.12125329561572247,-0.041039946394127245,-0.002955903847656411,-0.002456063307896076
rh_PhG_R_6_2_thickness,-0.061256593011739316,-0.06597811825994032,-0.1361810601321717,-0.07203915758544559,-0.09812398290061823,-0.10855847948095154,-0.00257476283791367,0.0005153467312985787,-0.005625703322366032,-0.009921856439001363
rh_PhG_R_6_3_thickness,-0.017232810838260185,-0.01645917853907468,-0.021570486381040324,0.04127477878803861,0.17581122722644044,-0.08296843053109668,-0.005178772232562136,0.003083444834157461,-0.09050721422835498,0.022165804898656598
rh_PhG_R_6_4_thickness,-0.02382013739436593,-0.07005966639385569,0.14215770376768436,-0.04248527442043044,-0.012904329818268312,0.0024942936780529006,0.13748374182352263,0.05389918653922754,-0.0042692900052386466,-0.006011468251291255
rh_PhG_R_6_5_thickness,-0.017797276337966905,-0.08044270786845617,0.16921973754614708,-0.07797391345996124,-0.009582032319984274,0.007420371302189844,-0.12127572705941374,-0.04105042917871667,-0.0029537706256251256,-0.0024526896896276172
rh_PhG_R_6_6_thickness,-0.017022172665254454,-0.016233949852012795,-0.021184627810174286,0.04101377270411848,0.17398536089846603,-0.08242841527348943,-0.0051235928452403766,0.0030374292449469363,-0.09088350799746096,0.023191822201729974
rh_pSTS_R_2_1_thickness,-0.013346118223358931,-0.013618965817972008,0.011566364938789922,0.151346904211096,-0.051234913152124875,0.009364742099562747,0.033840546750339755,-0.1127078255592278,-0.006884873195638035,-0.003108457066133958
rh_pSTS_R_2_2_thickness,-0.008157503739571612,-0.00686966712125868,-0.0025095278521295936,0.04237473567161867,0.03104825436519451,-0.025573057721873592,0.010413609691510778,-0.028920859980626018,0.04787068041183223,0.11349375312981015
rh_SPL_R_4_1_thickness,-0.07506294776648555,0.21243924629319294,0.017432722715922444,-0.03561565870654812,-0.009617550986140507,0.005492954545177285,-0.00014914757256742026,-0.0006413334300352074,-0.0032794905662917213,-0.002948850272070774
rh_SPL_R_4_2_thickness,-0.02108961286921799,-0.05921636393638411,0.118775632993711,-0.028440090212297684,-0.011701444338278926,0.001413191194693386,0.13633741151311102,0.046378395027710885,-0.002563596461163354,-0.0013639901128008696
rh_SPL_R_4_3_thickness,-0.03113594225367133,-0.03148648867306546,-0.06277836893964175,-0.018046567968295096,-0.00899006250360994,-0.07706277611490216,-0.0014658793061355989,-0.0007491386716217136,0.07376783113460049,-0.001487691994081621
rh_SPL_R_4_4_thickness,-0.06424263699461338,-0.07138835173937286,-0.14412663071569945,-0.07532629874384807,-0.09346105842378782,-0.08455719736525756,-0.0020924753599617686,2.32316675090245e-06,-0.012479510520518683,-0.005127796911061659
rh_IPL_R_6_1_thickness,-0.062125222990153696,-0.06942281951604601,-0.13904576485209488,-0.07103047544104263,-0.07748069403317664,-0.04898806794773767,-0.0012805708663013431,-0.00046457691654606026,-0.015943930536944054,-5.693181066906267e-05
rh_IPL_R_6_2_thickness,-0.01733699344326662,-0.01656877216692477,-0.021769387103185243,0.04132865771596382,0.1764504496357594,-0.08298928324480781,-0.00519513661542439,0.0031010721318365697,-0.08961454376463404,0.02123731384475069
rh_IPL_R_6_3_thickness,-0.02302692127981306,-0.07219552939587721,0.1482823702347843,-0.053542011387037784,-0.011096158677532934,0.0036059261412379555,0.0699211711749542,0.033518037579021685,-0.0040834207181911775,-0.006947130874841742
rh_IPL_R_6_4_thickness,-0.0571769202504376,-0.06429647273783341,-0.12461314780273723,-0.04817788745109875,0.03392173282939072,0.16706915568237346,0.003594094532540267,-0.0031525044151605856,-0.012613784954829756,0.009894607549530783
rh_IPL_R_6_5_thickness,0.26100134901606015,0.03815390688529241,-0.031714280067031385,-0.031088058904152786,-0.010955150629056058,0.004956148332334395,0.0051086987356794055,0.0009127096575486498,-0.004101824485914677,-0.004601011926733338
rh_IPL_R_6_6_thickness,-0.020028369378522554,-0.07379879198315875,0.15373856999546784,-0.06509590468497226,-0.009248322836979836,0.005333789742348332,-0.03934237219062946,-0.008001449748637321,-0.003108784541321769,-0.004300859088197629
rh_PCun_R_4_1_thickness,0.18452286257282297,0.024596887193795977,-0.0202700872935976,-0.020499379047807586,-0.006284329170592439,0.002593106295347673,-0.001045857134293529,-0.001016522454800746,-0.0007767492495546969,0.00046443934966215603
rh_PCun_R_4_2_thickness,-0.019324415734912632,-0.07579334262131,0.15859609967514562,-0.06975819644802508,-0.009122873768814268,0.00609398186041565,-0.07647368937337079,-0.023101012219684497,-0.0028669297040237957,-0.0031460396523851314
rh_PCun_R_4_3_thickness,-0.01554151830454647,-0.06973754351007286,0.1461825796898007,-0.06553264807164226,-0.007819182050597694,0.005774309615764227,-0.09315014940081726,-0.030535364725302445,-0.001868224537603075,-0.001304773441924594
rh_PCun_R_4_4_thickness,-0.025405966245802793,-0.025912438110388986,-0.046292390039337,0.006755303940060333,0.06846998666099434,-0.06160696787923671,-0.0022187367999145797,0.00012196639367995081,0.0918482654910595,-0.026364685164889042
rh_PoG_R_4_1_thickness,-0.013567876153067333,-0.013402914428574062,0.010650394932845798,0.15906179816248056,-0.05468481952445726,0.010972143241599223,0.023121360670246366,-0.0956418473742641,-0.008896068068699062,-0.011323676668336799
rh_PoG_R_4_2_thickness,-0.013369642158679211,-0.013622998548787102,0.011555517919162789,0.15184683002212934,-0.05145308196765219,0.009445900425941157,0.0335828037033242,-0.11255706623712536,-0.007021871935575057,-0.0035058592626288697
rh_PoG_R_4_3_thickness,-0.011055450130214254,-0.009233639763446128,0.0033441612442399573,0.13905005893765335,-0.0484154677055271,0.014505898024005044,-0.06951908482065619,0.14967146131540282,0.0014582384021993853,0.00919386292401109
rh_PoG_R_4_4_thickness,-0.023295803997001915,-0.07091678547613801,0.14493320507968957,-0.04908414381728663,-0.011584226477359528,0.003016416880793355,0.10140945809890968,0.044563458320863045,-0.004173671935232252,-0.006967814056761281
rh_INS_R_6_1_thickness,-0.014055141643893532,-0.013171271882053515,-0.016288157987387968,0.036514881967158186,0.14363503447239717,-0.07113301559030281,-0.0038668014974353178,0.0016160308788509142,-0.07869598905894054,0.037591727889926846
rh_INS_R_6_2_thickness,-0.02644984460658256,-0.027279862376180884,-0.045328248470015944,0.020663500266716747,0.1454105789382919,-0.013120437761713084,-0.002862466639123059,0.0021380746525630078,0.06405323316216668,-0.06864595202875733
rh_INS_R_6_3_thickness,-0.08123206256902558,0.2310780738481264,0.018863172772041987,-0.03953909718614313,-0.010914417818535471,0.006120145378404771,-0.00016989311790891417,-0.0007829611770577475,-0.003965199143898873,-0.003855041122175503
rh_CG_R_5_1_thickness,-0.08122039941629892,0.23104175083081957,0.018860475859851483,-0.039531583420512405,-0.010911821993622506,0.0061192893911687874,-0.0001699691073137173,-0.0007827500541673523,-0.003964339369878605,-0.0038539584234481418
rh_CG_R_5_2_thickness,-0.05731586311160975,-0.06421170006636669,-0.12622276087963982,-0.05520359851377631,-0.007046546324888818,0.09605259013337202,0.002135038244505807,-0.0022771814529918364,-0.020747206560904917,0.013246556012588496
rh_CG_R_5_3_thickness,-0.023815269900085912,-0.07003477505873866,0.14210276988827752,-0.04244176105284185,-0.012904740893358847,0.002491227034697201,0.13756025624241175,0.053904900508464984,-0.004266245372322742,-0.0060004812029961305
rh_CG_R_5_4_thickness,-0.017799871604612834,-0.08045049799340129,0.16923662245627616,-0.07798097761847061,-0.009583700178375674,0.007421259410203086,-0.12126933807245174,-0.04104698922449495,-0.0029550399102102965,-0.0024545306955375307
rh_CG_R_5_5_thickness,-0.0824690829581945,0.23461403598304587,0.0191910835225047,-0.04019454093055136,-0.01113142934396941,0.00625631042887477,-0.00013926549961235468,-0.0007846194071754259,-0.004161459978867591,-0.004067358828723205
