subjects,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10
sub-31151_ses-baseline_fs,0.09092616011361677,0.08258093590605185,0.07762843606078355,0.07417319920545225,0.07242944119716509,0.060002562426057025,0.0568523334276992,0.0477302578764675,0.03335559697642065,0.03219975538652627
sub-31152_ses-baseline_fs,0.10393574489590418,0.09895626289402201,0.09739074456093422,0.0958531078232996,0.09460447645937599,0.08351245758261358,0.0742989059218258,0.05583006189898496,0.049727207360543625,0.02606784469624689
