subjects,covariance,CG_5_1_thickness,CG_5_2_thickness,CG_5_3_thickness,CG_5_4_thickness,CG_5_5_thickness,FuG_3_1_thickness,FuG_3_2_thickness,FuG_3_3_thickness,IFG_6_1_thickness,IFG_6_2_thickness,IFG_6_3_thickness,IFG_6_4_thickness,IFG_6_5_thickness,IFG_6_6_thickness,INS_6_1_thickness,INS_6_2_thickness,INS_6_3_thickness,IPL_6_1_thickness,IPL_6_2_thickness,IPL_6_3_thickness,IPL_6_4_thickness,IPL_6_5_thickness,IPL_6_6_thickness,ITG_5_1_thickness,ITG_5_2_thickness,ITG_5_3_thickness,ITG_5_4_thickness,ITG_5_5_thickness,LOcC_4_1_thickness,LOcC_4_2_thickness,LOcC_4_3_thickness,LOcC_4_4_thickness,MFG_7_1_thickness,MFG_7_2_thickness,MFG_7_3_thickness,MFG_7_4_thickness,MFG_7_5_thickness,MFG_7_6_thickness,MFG_7_7_thickness,MTG_4_1_thickness,MTG_4_2_thickness,MTG_4_3_thickness,MTG_4_4_thickness,MVOcC_5_1_thickness,MVOcC_5_2_thickness,MVOcC_5_3_thickness,MVOcC_5_4_thickness,MVOcC_5_5_thickness,MeanThickness_thickness,OrG_6_1_thickness,OrG_6_2_thickness,OrG_6_3_thickness,OrG_6_4_thickness,OrG_6_5_thickness,OrG_6_6_thickness,PCL_2_1_thickness,PCL_2_2_thickness,PCun_4_1_thickness,PCun_4_2_thickness,PCun_4_3_thickness,PCun_4_4_thickness,PhG_6_1_thickness,PhG_6_2_thickness,PhG_6_3_thickness,PhG_6_4_thickness,PhG_6_5_thickness,PhG_6_6_thickness,PoG_4_1_thickness,PoG_4_2_thickness,PoG_4_3_thickness,PoG_4_4_thickness,PrG_6_1_thickness,PrG_6_2_thickness,PrG_6_3_thickness,PrG_6_4_thickness,PrG_6_5_thickness,PrG_6_6_thickness,SFG_6_1_thickness,SFG_6_2_thickness,SFG_6_3_thickness,SFG_6_4_thickness,SFG_6_5_thickness,SFG_6_6_thickness,SPL_4_1_thickness,SPL_4_2_thickness,SPL_4_3_thickness,SPL_4_4_thickness,STG_6_1_thickness,STG_6_2_thickness,STG_6_3_thickness,STG_6_4_thickness,STG_6_5_thickness,STG_6_6_thickness,pSTS_2_1_thickness,pSTS_2_2_thickness
sub-31151_ses-baseline_fs,CG_5_1_thickness,1.0,0.9811529912203042,0.8366585322601205,0.8872301045189219,0.9155166788798518,0.9189492613206477,0.648705125227376,0.8152056340429453,0.9048554718671348,0.9372089696914835,0.9999279481495695,0.47426730300757197,0.49703727707933726,0.6468934823264172,0.13730750286034898,0.9869539246705763,0.9999594701953167,0.9991177224688491,0.3014780582639239,0.9844458888699645,0.9762870433481428,0.88461288852399,0.34669392613269495,0.8819716174228008,0.9189492613206477,0.2362907744527031,0.794521044070705,0.9998874212651337,1.0,0.9402146467267816,0.9896778030730099,0.9989872475293465,0.06017045995096227,0.5470266059672915,3.378723452258056e-05,0.03360864943982538,0.8120691366934087,0.9024138148323817,0.0826785051863584,0.512980783369946,0.24482102650638993,0.9189492613206477,0.7896519887744331,0.40992282942771535,0.9756409549844183,0.39525530119845054,0.3406641435909873,0.8614220425870481,0.81846471091327,0.9189492613206477,0.27554991335972445,0.7715174365105151,0.05059326858975161,0.8396479661707622,0.915516678879852,0.9011832828785571,0.9672414085407156,0.5041065724240039,0.9593461109134542,0.9361923497401885,0.8152056340429452,0.8859245197046905,0.9479012680541995,0.6954289262248934,0.9859765856440358,0.9559649508141856,0.9905160584348319,0.19341571750453035,0.1673947291010083,0.00922959260120821,0.5254689279388561,0.019019471380335808,0.6123687929764203,0.06103175319542743,0.000495099953582181,0.997620535294444,0.9641797265355492,0.9883549833021488,0.43656815687404127,0.5542475068568429,0.8336497071315045,0.9450752869882589,0.08720659383217014,0.7929018403427454,0.6069081341692546,0.9991177224688491,0.8600072500432492,0.26246875192416924,0.0017365573627701877,0.9372089696914835,0.3099528491779485,0.6775607024914102,0.9998378906369911,0.006285089428067804,0.04460655733713227
sub-31151_ses-baseline_fs,CG_5_2_thickness,0.9811529912203042,1.0,0.7306146096495729,0.7912788095638628,0.9749865126360848,0.832138112238868,0.5308419054906921,0.9060665354305103,0.8136395381415416,0.8571614708969575,0.978787516698863,0.3666725329130412,0.3872125836844565,0.7614521619158354,0.19872656160172608,0.9994552366873787,0.9828378951536162,0.9883549833021488,0.4001176493036017,0.9330986748662005,0.9178119060771723,0.7880214150411456,0.25607641699354494,0.7847491571330187,0.832138112238868,0.1664468234383577,0.6829370023162757,0.9781750138636957,0.9811529912203043,0.9878966406604026,0.9441181596564078,0.9888046325842799,0.037175694684643296,0.43319962702743514,1.3679075156798047e-05,0.019837867237411582,0.7025302720478444,0.8104944662698335,0.052476405529776574,0.4017444512723258,0.17316385311292185,0.832138112238868,0.6775607024914103,0.5218936863884682,0.916667702218163,0.5058781600077431,0.25103412263408775,0.7597634781450663,0.7097606161095745,0.9769247605529017,0.19765641339606846,0.8711712454399757,0.030822395865997384,0.9245322990306727,0.8275750288112379,0.8089155634865913,0.9024138148323815,0.39364059400549656,0.8898230053805337,0.8557305533723,0.9060665354305102,0.9568220487823563,0.8725415310407321,0.8057452075182184,0.9361923497401885,0.8846128885239898,0.9983755923362352,0.13324743012453208,0.11357905298409592,0.00498402006890759,0.41321455620452974,0.010775676711725371,0.4952743456057984,0.03775201317194468,0.0002269336541862886,0.9657267502653585,0.897453245159116,0.9991177224688491,0.3332066441632458,0.439947029816597,0.7271352537320164,0.8684136615503382,0.05561024680674371,0.6811463139614123,0.48999649945137497,0.9722855543648699,0.7580717115579547,0.3543096514543482,0.0008499074703607793,0.986469576580087,0.22561222284833765,0.7896519887744331,0.9844458888699645,0.0033134794561472595,0.02690605574622129
sub-31151_ses-baseline_fs,CG_5_3_thickness,0.8366585322601205,0.7306146096495729,1.0,0.9941805886056022,0.5959875127614662,0.9828378951536162,0.9460248639352792,0.4656012859318482,0.9888046325842799,0.97228555436487,0.8426177237944392,0.8229702536450916,0.8426177237944396,0.3099528491779485,0.03494447627469745,0.7495679419973841,0.832138112238868,0.8152056340429453,0.10003330043989248,0.915516678879852,0.9309999789352859,0.9948075936442337,0.6918678270055686,0.9953991320067421,0.9828378951536162,0.5452238513261519,0.9967224023796228,0.8440951352187992,0.8366585322601202,0.6378246993547096,0.9024138148323815,0.8136395381415416,0.20743171746873992,0.8819716174228008,0.00042487014273809716,0.13324743012453225,0.9988477931599892,0.9896778030730098,0.26246875192416963,0.8557305533723003,0.5578634750273981,0.9828378951536162,0.9959551399688499,0.1544749545471815,0.9320529335966492,0.146564228875304,0.6847262310477683,0.9986993631261571,0.9993614048448132,0.6014474134829564,0.6014474134829568,0.4198321422237947,0.18208174229519605,0.4935132220405148,0.9844458888699645,0.9901013008564069,0.9441181596564078,0.8484970755347407,0.9533467397189459,0.9729732366355002,0.4656012859318481,0.5524408579126698,0.9641797265355492,0.34972982277231546,0.9120229855594016,0.9568220487823562,0.7631377255652951,0.47774858410389687,0.43319962702743564,0.04805167957351762,0.8656336195111082,0.08548598014588984,0.9256279591459,0.2096480649993245,0.0042576858652189084,0.8697952776961441,0.9479012680541995,0.7546790791547557,0.788021415041146,0.8872301045189219,0.9999819865506717,0.9664881351601496,0.27290220023384165,0.996475557610747,0.922319946236866,0.8571614708969578,0.9988477931599892,0.08267850518635822,0.01221765867716732,0.632376217047675,0.6468934823264173,0.3346909970251232,0.8275750288112379,0.03521699503833447,0.16550279482019975
sub-31151_ses-baseline_fs,CG_5_4_thickness,0.8872301045189219,0.7912788095638628,0.9941805886056022,1.0,0.6613626731064062,0.9969603288278542,0.9072710482371236,0.5290496012107403,0.9991177224688491,0.9917077797590399,0.8923913329489787,0.7648201317901353,0.7863871254556214,0.36356159433035945,0.0459588964548935,0.8089155634865914,0.8832952435382202,0.8684136615503382,0.12539915700662968,0.9524584397974041,0.9641797265355492,0.9999819865506717,0.626923455985853,0.9999279481495695,0.9969603288278542,0.4812380809872127,0.9822847864701139,0.8936662015943939,0.8872301045189216,0.7025302720478444,0.9421813535328744,0.8670264308427136,0.1702617575284514,0.8306217769258932,0.0002759482835409297,0.10663923007957793,0.9878966406604026,0.9993517202075981,0.21867401283243335,0.8009588486647422,0.49351322204051523,0.9969603288278542,0.9805743348593052,0.18923873231227734,0.964957273956299,0.18007246172257227,0.619648036086498,0.9983755923362353,0.989716275490235,0.6667725735636506,0.5362263533872343,0.4812380809872123,0.14829575576463497,0.5578634750273975,0.997620535294444,0.9994552366873787,0.9736526357532914,0.7929018403427457,0.9799871931794352,0.9920874674977763,0.5290496012107402,0.6178285001053313,0.9869539246705763,0.4066426745510804,0.9497471765790546,0.9822847864701139,0.8214262323912369,0.41651770967362833,0.3745078055863533,0.03660685535108248,0.8120691366934084,0.06687992961105213,0.8819716174228008,0.17219258382745178,0.002962091552146323,0.9155166788798518,0.9762870433481428,0.8136395381415416,0.7271352537320167,0.8366585322601205,0.9935181844081525,0.9883549833021488,0.22795711302440355,0.9817231468283582,0.8779651807348411,0.9048554718671348,0.9982002603199983,0.10462280314518464,0.0088142313528332,0.6972069239486366,0.58143840384367,0.3904203925380786,0.8793065530667075,0.026474795637123055,0.13405213968648141
sub-31151_ses-baseline_fs,CG_5_5_thickness,0.9155166788798518,0.9749865126360848,0.5959875127614662,0.6613626731064062,1.0,0.707836884762701,0.4017444512723262,0.9762870433481428,0.6865139640592716,0.7375436282460608,0.9108449786014696,0.2598999119175532,0.2768796467755888,0.8766179590882316,0.29039118453466967,0.9672414085407155,0.9189492613206477,0.9309999789352859,0.5290496012107405,0.8366585322601202,0.8152056340429453,0.6577508583185492,0.17219258382745145,0.654135201170232,0.707836884762701,0.10596376060296638,0.547026605967291,0.9096603000359461,0.915516678879852,0.997620535294444,0.852852835766162,0.9320529335966493,0.02034351355257534,0.3156777819038057,4.59631873807726e-06,0.010298618106321801,0.566917578734969,0.6829370023162762,0.029622792080395546,0.28902259156703697,0.11076248367732996,0.707836884762701,0.5416215106429173,0.6577508583185495,0.8136395381415416,0.6414541878085029,0.16834651676396095,0.626923455985853,0.5743368251790953,0.9999594701953167,0.1284953010304359,0.9559649508141858,0.016595577621380055,0.9854749650599968,0.7025302720478444,0.6811463139614127,0.7945210440707051,0.2822376386460591,0.7781612395215056,0.7358151781139332,0.9762870433481428,0.9974094013409031,0.7563768994597729,0.91084497860147,0.8411353222921786,0.7715174365105147,0.9609892388287145,0.08267850518635819,0.06924754572594424,0.00233491700365745,0.2986834154027807,0.005335714652944416,0.36979676831036556,0.02068681957339654,8.799274068124756e-05,0.8872301045189219,0.7880214150411456,0.964957273956299,0.23269510976747437,0.32146212716139044,0.592348466270386,0.7512745631279398,0.031561940510581046,0.5452238513261513,0.3651153945647123,0.8987029668875898,0.6251050768386386,0.47774858410389714,0.00035544881910856766,0.9982002603199983,0.14916716005077674,0.89870296688759,0.9223199462368658,0.0015098985189292338,0.01432150697731992
sub-31151_ses-baseline_fs,FuG_3_1_thickness,0.9189492613206477,0.832138112238868,0.9828378951536162,0.9969603288278542,0.707836884762701,1.0,0.8739061008577452,0.5759889201017939,0.9993517202075981,0.9986993631261571,0.9234296186528886,0.7201483324438758,0.7427132399487171,0.4050069812952135,0.05561024680674354,0.8484970755347405,0.9155166788798518,0.9024138148323815,0.14656422887530415,0.9729732366355004,0.9817231468283582,0.996475557610747,0.5796214250600251,0.9959551399688499,1.0,0.4365681568740416,0.964957273956299,0.9245322990306725,0.9189492613206475,0.7478584618398163,0.964957273956299,0.9011832828785568,0.1465642288753045,0.7896519887744331,0.00020059028871875895,0.09013534784645678,0.9729732366355004,0.9991177224688492,0.19027701545412384,0.7580717115579552,0.4484383788387975,1.0,0.9626005005770307,0.2175317109597184,0.9822847864701139,0.20743171746873923,0.5723585593007411,0.9909220646741634,0.9756994452898761,0.7131257721456921,0.4899964994513753,0.5272585994273653,0.1269400762286145,0.6050878571023438,0.9999594701953167,0.9989872475293466,0.9883549833021488,0.7495679419973844,0.9924583616847469,0.9988477931599892,0.5759889201017938,0.6649703634776458,0.996475557610747,0.4501440518699254,0.970885413525804,0.9938538070340598,0.8600072500432492,0.37450780558635294,0.33469099702512384,0.029859456210969682,0.7698480329369483,0.05561024680674371,0.8455675211791338,0.14829575576463533,0.002262775441439972,0.9431535068189091,0.990101300856407,0.852852835766162,0.6811463139614127,0.796136383735072,0.9817231468283582,0.9971893305401524,0.1987265616017263,0.9641797265355492,0.8411353222921786,0.9341371758026266,0.9905160584348319,0.12311446245753642,0.00691222746626601,0.7427132399487166,0.5344303096999703,0.43319962702743514,0.9120229855594019,0.021388597876318804,0.11429174239267594
sub-31151_ses-baseline_fs,FuG_3_2_thickness,0.648705125227376,0.5308419054906921,0.9460248639352792,0.9072710482371236,0.4017444512723262,0.8739061008577452,1.0,0.291763630256003,0.889823005380534,0.8499541735334885,0.6559434924547262,0.958512651013659,0.9687235413777419,0.1761011390852587,0.013950077111534698,0.5506351385127937,0.6432679789507465,0.6232863580199014,0.04630229679588881,0.7529782879447637,0.7765054349680561,0.9096603000359463,0.871171245439975,0.9120229855594019,0.8739061008577452,0.7444310735506723,0.9687235413777421,0.6577508583185495,0.6487051252273757,0.4399470298165978,0.7340841668603882,0.6214673332317883,0.3543096514543479,0.9859765856440357,0.0014936469776905656,0.2460556526357216,0.9601716474169614,0.8923913329489787,0.428166579220566,0.9749865126360847,0.7563768994597729,0.8739061008577451,0.9708854135258043,0.0767614871395525,0.778161239521506,0.07217812512519965,0.8656336195111077,0.9288725380236365,0.9567452313822291,0.4066426745510807,0.796136383735072,0.25607641699354544,0.3185625642178519,0.31424095640525573,0.8779651807348411,0.8936662015943941,0.7977478223522748,0.9715896071790113,0.8136395381415419,0.8514061052779603,0.291763630256003,0.3635615943303598,0.833649707131505,0.20413726103410196,0.7478584618398163,0.8198777234507096,0.5651052573110874,0.6775607024914098,0.6305590600130894,0.10329509382528286,0.9793915818348045,0.16930219130603685,0.9982002603199983,0.35738004678207896,0.012109255813506076,0.690084798267308,0.8041538277744389,0.5560550557878639,0.9382182432122507,0.9878966406604024,0.9479012680541997,0.8381556909601523,0.4416402936825984,0.9694523616553073,0.997620535294444,0.6739696842880707,0.9299398379879088,0.03717569468464335,0.031067244826086075,0.4348825888847971,0.8351565257388454,0.19341571750453057,0.6378246993547101,0.07887241475691553,0.2945200535359897
sub-31151_ses-baseline_fs,FuG_3_3_thickness,0.8152056340429453,0.9060665354305103,0.4656012859318482,0.5290496012107403,0.9762870433481428,0.5759889201017939,0.291763630256003,1.0,0.5542475068568429,0.6069081341692543,0.8089155634865914,0.17708807485639405,0.1902770154541236,0.9576712896082911,0.4001176493036012,0.8923913329489787,0.8198777234507093,0.8366585322601207,0.6613626731064065,0.7166413593810115,0.6918678270055686,0.5254689279388561,0.11146151516491372,0.5218936863884682,0.5759889201017939,0.06503371085065655,0.41983214222379484,0.8073324650025407,0.8152056340429457,0.959346110913454,0.7358151781139332,0.8381556909601524,0.01077567671172541,0.2209706726330276,1.5144802702473976e-06,0.005182327557679346,0.43825631067444176,0.5506351385127937,0.01617259661151585,0.19980070421251303,0.06829244934422804,0.5759889201017939,0.4148647137719401,0.7847491571330188,0.6900847982673076,0.7698480329369481,0.10868570966346527,0.4952743456057984,0.4451873406066744,0.9743237336917078,0.08048600727759425,0.9967224023796228,0.008652823197768812,0.9988477931599892,0.5705442602925851,0.5488303780931079,0.668573646279401,0.19446991188673152,0.6505159825863565,0.6050878571023439,1.0,0.9892455764501628,0.626923455985853,0.9775540896393079,0.7218984963480318,0.6432679789507462,0.8819716174228006,0.04949063131336524,0.0407483976074978,0.001063198053926918,0.2074317174687393,0.002564189957725847,0.26505343292823746,0.01097193969377876,3.333007893330228e-05,0.7781612395215056,0.6613626731064062,0.8885296105206479,0.15627460198833262,0.22561222284833765,0.462150241706515,0.6214673332317884,0.01732215174377437,0.41817352538310304,0.2611823499275534,0.7929018403427455,0.49351322204051484,0.6087284044261863,0.00014492652008927961,0.9617988636494464,0.0949828157190939,0.9708854135258042,0.8245097509374275,0.0006692417826180074,0.0073841391607644795
sub-31151_ses-baseline_fs,IFG_6_1_thickness,0.9048554718671348,0.8136395381415416,0.9888046325842799,0.9991177224688491,0.6865139640592716,0.9993517202075981,0.889823005380534,0.5542475068568429,1.0,0.9962198011759019,0.9096603000359461,0.7409926963763531,0.7631377255652955,0.3856133666948425,0.05096532870021081,0.830621776925893,0.9011832828785568,0.8872301045189219,0.13648816868632685,0.9641797265355494,0.9743237336917078,0.9988477931599892,0.6014474134829565,0.9985419614351959,0.9993517202075981,0.45699070581514895,0.9736526357532915,0.9108449786014696,0.9048554718671346,0.7271352537320167,0.9551000181744621,0.8859245197046903,0.15718014923010917,0.8089155634865917,0.00023257860842553537,0.09748237729338875,0.9805743348593052,0.9999819865506717,0.20304711988156382,0.7781612395215056,0.469061201084721,0.9993517202075981,0.9715896071790115,0.2041372610341017,0.9749865126360848,0.19446991188673127,0.5941678793137006,0.9951078002318071,0.9828872559851904,0.6918678270055686,0.5112027392507607,0.505878160007743,0.13648816868632657,0.5832558251389404,0.9996352908882011,0.9999594701953167,0.9822847864701137,0.7698480329369486,0.9874296169449795,0.996475557610747,0.5542475068568429,0.6432679789507465,0.9928204523500992,0.4298416022469645,0.9617988636494462,0.9892455764501629,0.8426177237944392,0.39364059400549656,0.3527795939668964,0.032828242763460525,0.7896519887744328,0.06059984931748863,0.8628313912074406,0.15900271956648276,0.0025641899577258515,0.9309999789352859,0.9844458888699646,0.8351565257388454,0.7025302720478444,0.8152056340429453,0.9878966406604025,0.9938538070340597,0.211880459956113,0.9729732366355002,0.8585870479815794,0.9212033101619459,0.9948075936442338,0.11429174239267594,0.007738727623906825,0.7218984963480315,0.5560550557878639,0.4132145562045301,0.8974532451591163,0.02361960158800948,0.12311446245753653
sub-31151_ses-baseline_fs,IFG_6_2_thickness,0.9372089696914835,0.8571614708969575,0.97228555436487,0.9917077797590399,0.7375436282460608,0.9986993631261571,0.8499541735334885,0.6069081341692543,0.9962198011759019,1.0,0.941201725032261,0.6900847982673083,0.7131257721456925,0.43319962702743514,0.06278471614183669,0.8725415310407321,0.9341371758026263,0.9223199462368658,0.16176534901600587,0.9833824581089756,0.9901013008564069,0.9909220646741634,0.5488303780931079,0.9901013008564071,0.9986993631261571,0.40828129652031153,0.950658634716721,0.9421813535328741,0.9372089696914833,0.7765054349680558,0.9769247605529016,0.9212033101619457,0.13244635827747392,0.7614521619158354,0.00016229714678683884,0.08048600727759422,0.9601716474169616,0.9956815811221309,0.17316385311292223,0.7288761379725489,0.4198321422237952,0.9986993631261571,0.9479012680541997,0.2374973559165933,0.9905160584348319,0.2267826585187482,0.5416215106429172,0.9828378951536163,0.963465161463929,0.7427132399487166,0.46042810315297383,0.5578634750273975,0.11429174239267578,0.6360090708980148,0.9982002603199983,0.9953991320067422,0.9948075936442337,0.7201483324438758,0.997409401340903,0.9999954966072472,0.6069081341692542,0.6954289262248933,0.9994552366873787,0.47949231753999205,0.981723146828358,0.9982002603199983,0.8832952435382202,0.3482101339932371,0.30995284917794885,0.02604950941449994,0.7409926963763528,0.04912756691439398,0.8198777234507096,0.13405213968648141,0.0018912104817968192,0.9585126510136588,0.9959551399688498,0.876617959088231,0.6505159825863563,0.7681753227690639,0.9708854135258043,0.9997118237455969,0.18107513049968169,0.9497471765790548,0.8152056340429457,0.9506586347167207,0.9822847864701139,0.13648816868632685,0.005877114190067469,0.7715174365105146,0.504106572424004,0.4621502417065149,0.9309999789352859,0.018542725981828788,0.10263618440308506
sub-31151_ses-baseline_fs,IFG_6_3_thickness,0.9999279481495695,0.978787516698863,0.8426177237944392,0.8923913329489787,0.9108449786014696,0.9234296186528886,0.6559434924547262,0.8089155634865914,0.9096603000359461,0.941201725032261,1.0,0.4812380809872128,0.5041065724240039,0.6396397497871603,0.1340521396864812,0.9849647282520066,0.9997793576033525,0.9985419614351959,0.2959040175443544,0.9864695765800869,0.9787875166988631,0.8898230053805337,0.35277959396689607,0.8872301045189221,0.9234296186528886,0.24114116179660416,0.8009588486647422,0.9999954966072472,0.9999279481495695,0.9361923497401885,0.9913193086721781,0.9983755923362352,0.06190314494290669,0.5542475068568432,3.567621289535135e-05,0.03467375403479981,0.8183247631512763,0.9072710482371236,0.08491848995592516,0.5201081712703883,0.24978351502826052,0.9234296186528886,0.7961363837350723,0.403374234377505,0.9781750138636957,0.38881493095555186,0.34669392613269495,0.8670264308427139,0.8246480825552872,0.9143588653461651,0.28089229269527716,0.7648201317901349,0.052095190978030365,0.8336497071315045,0.9200797389612867,0.9060665354305102,0.9701729920625817,0.5112027392507605,0.9626005005770307,0.9402146467267816,0.8089155634865913,0.8806420429658238,0.9515623969908077,0.688300165200229,0.9878966406604026,0.959346110913454,0.9888046325842799,0.19765641339606846,0.17122522015420122,0.009574378479040756,0.5326354843393777,0.019671772590018774,0.6196480360864985,0.06278471614183682,0.0005188023614857935,0.9983755923362353,0.9672414085407155,0.9864695765800869,0.4433360815061951,0.5614828051183066,0.8396479661707622,0.9488280463670415,0.08954344506163077,0.7993553229692306,0.6141888452604477,0.9995497610986571,0.8656336195111082,0.2573469420562631,0.00181236552676073,0.9330986748662008,0.3156777819038057,0.6703735460651581,0.9995497610986571,0.006529516515624437,0.0459588964548936
sub-31151_ses-baseline_fs,IFG_6_4_thickness,0.47426730300757197,0.3666725329130412,0.8229702536450916,0.7648201317901353,0.2598999119175532,0.7201483324438758,0.958512651013659,0.17708807485639405,0.7409926963763531,0.6900847982673083,0.4812380809872128,1.0,0.9992392144552508,0.09811526940793225,0.005709705927735542,0.3840172958064681,0.469061201084721,0.45014405186992584,0.021567245584617745,0.579621425060026,0.6050878571023444,0.7681753227690642,0.9729732366355001,0.7715174365105151,0.7201483324438758,0.8923913329489787,0.8628313912074406,0.482985850331929,0.4742673030075716,0.29039118453467005,0.559672734776902,0.4484383788387975,0.5165414887206342,0.9924583616847469,0.004091811417718212,0.38401729580646726,0.8470348463633395,0.7444310735506723,0.5996273121540243,0.9978227267053323,0.9011832828785568,0.7201483324438758,0.8670264308427139,0.03804300024131079,0.606908134169255,0.035491319407953165,0.9701729920625813,0.7961363837350725,0.8410016626047748,0.263759114201525,0.9288725380236361,0.15180401248221947,0.4742673030075706,0.19341571750453057,0.7253919940122862,0.7461461599342508,0.6287414616703978,0.9986993631261571,0.6468934823264173,0.6918678270055689,0.17708807485639405,0.23031807683755423,0.6703735460651585,0.116450461823918,0.5741734561867167,0.6541352011702324,0.39687305731890415,0.8396479661707619,0.7993553229692306,0.18410680980140778,0.9962198011759019,0.2808922926952768,0.9736526357532915,0.520108171270388,0.02756429140212982,0.5147603754406742,0.6360090708980157,0.38881493095555214,0.9978227267053322,0.9909220646741634,0.8260446880477346,0.6757658512894207,0.6141888452604477,0.8642352615896627,0.9756409549844184,0.4988019910832511,0.7977478223522753,0.016882932887715876,0.06412633659750476,0.2862969895078471,0.9533467397189459,0.10937458976014092,0.46387464352470426,0.1457040933464068,0.44503437237297894
