subjects,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10
sub-31151_ses-baseline_fs,0.08223639949583472,0.08053646844282036,0.07578093625555353,0.0750909838824596,0.06386379803903777,0.059450735476721285,0.057774178080121426,0.05061394592864608,0.035833203290440825,0.035194757366978
sub-31152_ses-baseline_fs,0.10310079077906088,0.09915987443714372,0.09742742586430354,0.0959765540564236,0.09468603341428349,0.08350085466694808,0.07425710286695698,0.053399516485796675,0.04964310613828548,0.025197449089156037
